"確定病名","發病年份","發病週別","縣市","性別","是否為境外移入","年齡層","確定病例數","鄉鎮"
"嚴重特殊傳染性肺炎","2020","10","空值","F","是","15-19",1,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","F","是","20-24",3,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","F","是","25-29",2,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","F","是","30-34",1,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","F","是","35-39",2,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","M","是","25-29",1,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","M","是","30-34",3,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","M","是","35-39",2,"空值"
"嚴重特殊傳染性肺炎","2020","10","空值","M","是","70+",1,"空值"
"嚴重特殊傳染性肺炎","2020","10","桃園市","F","否","25-29",1,"蘆竹區"
"嚴重特殊傳染性肺炎","2020","10","桃園市","M","否","20-24",1,"蘆竹區"
"嚴重特殊傳染性肺炎","2020","10","新北市","F","否","55-59",1,"新店區"
"嚴重特殊傳染性肺炎","2020","11","台南市","F","否","25-29",1,"新市區"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","15-19",1,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","20-24",10,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","25-29",9,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","30-34",7,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","35-39",4,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","40-44",2,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","45-49",2,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","50-54",1,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","55-59",4,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","60-64",2,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","F","是","65-69",1,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","15-19",1,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","20-24",7,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","25-29",5,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","30-34",9,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","35-39",2,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","4",1,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","40-44",2,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","45-49",1,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","50-54",2,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","55-59",4,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","60-64",2,"空值"
"嚴重特殊傳染性肺炎","2020","11","空值","M","是","65-69",1,"空值"
"嚴重特殊傳染性肺炎","2020","11","桃園市","F","否","20-24",1,"龜山區"
"嚴重特殊傳染性肺炎","2020","12","台中市","F","否","30-34",1,"北區"
"嚴重特殊傳染性肺炎","2020","12","台北市","F","否","15-19",1,"大同區"
"嚴重特殊傳染性肺炎","2020","12","台北市","F","否","35-39",1,"信義區"
"嚴重特殊傳染性肺炎","2020","12","台北市","F","否","50-54",1,"內湖區"
"嚴重特殊傳染性肺炎","2020","12","台北市","M","否","35-39",1,"內湖區"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","15-19",6,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","20-24",25,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","25-29",8,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","30-34",6,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","35-39",3,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","40-44",1,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","45-49",2,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","50-54",2,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","55-59",2,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","5-9",1,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","60-64",4,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","65-69",2,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","F","是","70+",2,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","15-19",3,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","20-24",13,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","25-29",5,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","30-34",9,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","35-39",7,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","40-44",4,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","45-49",3,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","50-54",4,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","55-59",3,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","60-64",4,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","65-69",2,"空值"
"嚴重特殊傳染性肺炎","2020","12","空值","M","是","70+",4,"空值"
"嚴重特殊傳染性肺炎","2020","12","新北市","F","否","30-34",1,"中和區"
"嚴重特殊傳染性肺炎","2020","12","新北市","M","否","15-19",1,"三重區"
"嚴重特殊傳染性肺炎","2020","12","新北市","M","否","25-29",1,"五股區"
"嚴重特殊傳染性肺炎","2020","12","新北市","M","否","35-39",1,"汐止區"
"嚴重特殊傳染性肺炎","2020","12","新竹市","F","否","65-69",1,"東區"
"嚴重特殊傳染性肺炎","2020","12","新竹市","M","否","30-34",1,"東區"
"嚴重特殊傳染性肺炎","2020","13","台中市","F","否","40-44",1,"大里區"
"嚴重特殊傳染性肺炎","2020","13","台北市","F","否","45-49",1,"大安區"
"嚴重特殊傳染性肺炎","2020","13","台北市","F","否","45-49",1,"內湖區"
"嚴重特殊傳染性肺炎","2020","13","台北市","M","否","20-24",1,"文山區"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","15-19",3,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","20-24",11,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","25-29",5,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","30-34",6,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","35-39",1,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","40-44",3,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","50-54",2,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","55-59",1,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","60-64",1,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","65-69",2,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","F","是","70+",1,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","15-19",3,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","20-24",7,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","25-29",6,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","30-34",4,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","40-44",3,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","45-49",3,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","50-54",1,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","55-59",2,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","60-64",3,"空值"
"嚴重特殊傳染性肺炎","2020","13","空值","M","是","65-69",2,"空值"
"嚴重特殊傳染性肺炎","2020","13","桃園市","M","否","35-39",1,"中壢區"
