"確定病名","個案研判日","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",28
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",2
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
"嚴重特殊傳染性肺炎","2020/01/22","空值","空值","女","是","55-59",1
