"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,22
"南投縣","仁愛鄉",NA,128
"南投縣","信義鄉",NA,129
"南投縣","南投市",NA,454
"南投縣","名間鄉",NA,148
"南投縣","國姓鄉",NA,57
"南投縣","埔里鎮",NA,394
"南投縣","水里鄉",NA,43
"南投縣","竹山鎮",NA,223
"南投縣","草屯鎮",NA,515
"南投縣","集集鎮",NA,39
"南投縣","魚池鄉",NA,49
"南投縣","鹿谷鄉",NA,64
"台中市","中區",NA,251
"台中市","北區",NA,1822
"台中市","北屯區",NA,3042
"台中市","南區",NA,1099
"台中市","南屯區",NA,1760
"台中市","后里區",NA,449
"台中市","和平區",NA,56
"台中市","外埔區",NA,182
"台中市","大安區",NA,145
"台中市","大甲區",NA,440
"台中市","大肚區",NA,327
"台中市","大里區",NA,1808
"台中市","大雅區",NA,853
"台中市","太平區",NA,1458
"台中市","新社區",NA,69
"台中市","東勢區",NA,212
"台中市","東區",NA,765
"台中市","梧棲區",NA,921
"台中市","沙鹿區",NA,1044
"台中市","清水區",NA,817
"台中市","潭子區",NA,767
"台中市","烏日區",NA,587
"台中市","石岡區",NA,60
"台中市","神岡區",NA,694
"台中市","西區",NA,1065
"台中市","西屯區",NA,2861
"台中市","豐原區",NA,1150
"台中市","霧峰區",NA,581
"台中市","龍井區",NA,728
"台北市","中山區",NA,8803
"台北市","中正區",NA,4680
"台北市","信義區",NA,7698
"台北市","內湖區",NA,7867
"台北市","北投區",NA,8723
"台北市","南港區",NA,4315
"台北市","士林區",NA,9425
"台北市","大同區",NA,5018
"台北市","大安區",NA,8746
"台北市","文山區",NA,10988
"台北市","松山區",NA,5986
"台北市","萬華區",NA,13032
"台南市","七股區",NA,63
"台南市","下營區",NA,70
"台南市","中西區",NA,631
"台南市","仁德區",NA,664
"台南市","佳里區",NA,188
"台南市","六甲區",NA,92
"台南市","北區",NA,1039
"台南市","北門區",NA,16
"台南市","南化區",NA,16
"台南市","南區",NA,916
"台南市","善化區",NA,255
"台南市","大內區",NA,29
"台南市","學甲區",NA,125
"台南市","安南區",NA,1258
"台南市","安定區",NA,210
"台南市","安平區",NA,570
"台南市","官田區",NA,86
"台南市","將軍區",NA,51
"台南市","山上區",NA,75
"台南市","左鎮區",NA,10
"台南市","後壁區",NA,73
"台南市","新化區",NA,588
"台南市","新市區",NA,229
"台南市","新營區",NA,372
"台南市","東區",NA,1320
"台南市","東山區",NA,71
"台南市","柳營區",NA,108
"台南市","楠西區",NA,16
"台南市","歸仁區",NA,495
"台南市","永康區",NA,2464
