"縣市","鄉鎮","Sum_Inter","Sum_Local"
"南投縣","中寮鄉",NA,1281
"南投縣","仁愛鄉",NA,3151
"南投縣","信義鄉",NA,3038
"南投縣","南投市",NA,17697
"南投縣","名間鄉",NA,4906
"南投縣","國姓鄉",NA,1734
"南投縣","埔里鎮",NA,12209
"南投縣","水里鄉",NA,1601
"南投縣","竹山鎮",NA,7276
"南投縣","草屯鎮",NA,16242
"南投縣","集集鎮",NA,997
"南投縣","魚池鄉",NA,1172
"南投縣","鹿谷鄉",NA,1599
"台中市","中區",NA,3142
"台中市","北區",NA,27928
"台中市","北屯區",NA,50407
"台中市","南區",NA,24131
"台中市","南屯區",NA,32538
"台中市","后里區",NA,8742
"台中市","和平區",NA,1450
"台中市","外埔區",NA,5797
"台中市","大安區",NA,3107
"台中市","大甲區",NA,13519
"台中市","大肚區",NA,10783
"台中市","大里區",NA,41176
"台中市","大雅區",NA,19997
"台中市","太平區",NA,38227
"台中市","新社區",NA,2539
"台中市","東勢區",NA,6737
"台中市","東區",NA,14827
"台中市","梧棲區",NA,13893
"台中市","沙鹿區",NA,21050
"台中市","清水區",NA,16914
"台中市","潭子區",NA,20051
"台中市","烏日區",NA,16019
"台中市","石岡區",NA,1985
"台中市","神岡區",NA,12505
"台中市","西區",NA,19394
"台中市","西屯區",NA,46973
"台中市","豐原區",NA,28009
"台中市","霧峰區",NA,13088
"台中市","龍井區",NA,15730
"台北市","中山區",NA,40750
"台北市","中正區",NA,21306
"台北市","信義區",NA,40047
"台北市","內湖區",NA,46985
"台北市","北投區",NA,45711
"台北市","南港區",NA,23159
"台北市","士林區",NA,46087
"台北市","大同區",NA,23059
"台北市","大安區",NA,37988
"台北市","文山區",NA,46474
"台北市","松山區",NA,30021
"台北市","萬華區",NA,40156
"台南市","七股區",NA,2500
"台南市","下營區",NA,2861
"台南市","中西區",NA,11448
"台南市","仁德區",NA,15595
"台南市","佳里區",NA,8306
"台南市","六甲區",NA,3254
"台南市","北區",NA,22160
"台南市","北門區",NA,743
"台南市","南化區",NA,684
"台南市","南區",NA,22265
"台南市","善化區",NA,9268
"台南市","大內區",NA,946
"台南市","學甲區",NA,2855
"台南市","安南區",NA,36473
"台南市","安定區",NA,4986
"台南市","安平區",NA,11299
"台南市","官田區",NA,3289
"台南市","將軍區",NA,1730
"台南市","山上區",NA,1413
"台南市","左鎮區",NA,478
"台南市","後壁區",NA,2545
"台南市","新化區",NA,7580
"台南市","新市區",NA,8018
"台南市","新營區",NA,11887
"台南市","東區",NA,28494
"台南市","東山區",NA,1817
"台南市","柳營區",NA,3503
"台南市","楠西區",NA,827
"台南市","歸仁區",NA,12676
"台南市","永康區",NA,49291
"台南市","玉井區",NA,1837
"台南市","白河區",NA,3045
"台南市","西港區",NA,3622
"台南市","關廟區",NA,6379
"台南市","鹽水區",NA,3414
"台南市","麻豆區",NA,6314
"台南市","龍崎區",NA,286
"台東縣","卑南鄉",NA,2965
"台東縣","台東市",NA,23394
"台東縣","大武鄉",NA,707
"台東縣","太麻里鄉",NA,1728
"台東縣","延平鄉",NA,911
"台東縣","成功鎮",NA,2017
"台東縣","東河鄉",NA,1083
"台東縣","池上鄉",NA,958
"台東縣","海端鄉",NA,1137
"台東縣","綠島鄉",NA,560
"台東縣","蘭嶼鄉",NA,1209
"台東縣","達仁鄉",NA,512
"台東縣","金峰鄉",NA,708
"台東縣","長濱鄉",NA,886
"台東縣","關山鎮",NA,1250
"台東縣","鹿野鄉",NA,1246
"嘉義市","東區",NA,17893
"嘉義市","西區",NA,22712
"嘉義縣","中埔鄉",NA,6214
"嘉義縣","六腳鄉",NA,2193
"嘉義縣","大埔鄉",NA,183
"嘉義縣","大林鎮",NA,4625
"嘉義縣","太保市",NA,5969
"嘉義縣","布袋鎮",NA,2331
"嘉義縣","新港鄉",NA,3801
"嘉義縣","朴子市",NA,5689
"嘉義縣","東石鄉",NA,1779
"嘉義縣","梅山鄉",NA,1818
"嘉義縣","民雄鄉",NA,11999
"嘉義縣","水上鄉",NA,7903
"嘉義縣","溪口鄉",NA,1554
"嘉義縣","番路鄉",NA,1038
"嘉義縣","竹崎鄉",NA,3793
"嘉義縣","義竹鄉",NA,1239
"嘉義縣","阿里山鄉",NA,721
"嘉義縣","鹿草鄉",NA,1815
"基隆市","七堵區",NA,13604
"基隆市","中山區",NA,10885
"基隆市","中正區",NA,13375
"基隆市","仁愛區",NA,9536
"基隆市","信義區",NA,13476
"基隆市","其他",NA,1
"基隆市","安樂區",NA,21022
"基隆市","暖暖區",NA,9424
"宜蘭縣","三星鄉",NA,4000
"宜蘭縣","五結鄉",NA,8036
"宜蘭縣","冬山鄉",NA,11644
"宜蘭縣","南澳鄉",NA,2335
"宜蘭縣","員山鄉",NA,6224
"宜蘭縣","壯圍鄉",NA,4263
"宜蘭縣","大同鄉",NA,1770
"宜蘭縣","宜蘭市",NA,18782
