"縣市","鄉鎮","Sum_Local.x"
"南投縣","中寮鄉",2
"南投縣","仁愛鄉",15
"南投縣","信義鄉",8
"南投縣","南投市",66
"南投縣","名間鄉",23
"南投縣","國姓鄉",7
"南投縣","埔里鎮",41
"南投縣","水里鄉",5
"南投縣","竹山鎮",29
"南投縣","草屯鎮",129
"南投縣","集集鎮",10
"南投縣","魚池鄉",6
"南投縣","鹿谷鄉",4
"台中市","中區",63
"台中市","北區",471
"台中市","北屯區",820
"台中市","南區",188
"台中市","南屯區",382
"台中市","后里區",64
"台中市","和平區",5
"台中市","外埔區",25
"台中市","大安區",20
"台中市","大甲區",71
"台中市","大肚區",48
"台中市","大里區",428
"台中市","大雅區",183
"台中市","太平區",279
"台中市","新社區",6
"台中市","東勢區",38
"台中市","東區",121
"台中市","梧棲區",200
"台中市","沙鹿區",204
"台中市","清水區",147
"台中市","潭子區",154
"台中市","烏日區",120
"台中市","石岡區",7
"台中市","神岡區",124
"台中市","西區",229
"台中市","西屯區",664
"台中市","豐原區",236
"台中市","霧峰區",92
"台中市","龍井區",105
"台北市","中山區",2474
"台北市","中正區",1144
"台北市","信義區",1905
"台北市","內湖區",1721
"台北市","北投區",2344
"台北市","南港區",779
"台北市","士林區",2377
"台北市","大同區",1014
"台北市","大安區",2391
"台北市","文山區",2232
"台北市","松山區",1549
"台北市","萬華區",2638
"台南市","七股區",9
"台南市","下營區",10
"台南市","中西區",82
"台南市","仁德區",123
"台南市","佳里區",28
"台南市","六甲區",6
"台南市","北區",188
"台南市","北門區",1
"台南市","南區",152
"台南市","善化區",32
"台南市","大內區",3
"台南市","學甲區",19
"台南市","安南區",167
"台南市","安定區",40
"台南市","安平區",76
"台南市","官田區",13
"台南市","將軍區",8
"台南市","山上區",1
"台南市","後壁區",4
"台南市","新化區",94
"台南市","新市區",33
"台南市","新營區",48
"台南市","東區",247
"台南市","東山區",6
"台南市","柳營區",5
"台南市","楠西區",2
"台南市","歸仁區",64
"台南市","永康區",483
"台南市","玉井區",8
"台南市","白河區",12
"台南市","西港區",9
"台南市","關廟區",24
"台南市","鹽水區",13
"台南市","麻豆區",28
"台東縣","卑南鄉",25
"台東縣","台東市",181
"台東縣","大武鄉",3
"台東縣","太麻里鄉",13
"台東縣","延平鄉",2
"台東縣","成功鎮",25
"台東縣","東河鄉",1
"台東縣","池上鄉",3
"台東縣","海端鄉",10
"台東縣","綠島鄉",8
"台東縣","蘭嶼鄉",5
"台東縣","達仁鄉",6
"台東縣","金峰鄉",3
"台東縣","長濱鄉",20
"台東縣","關山鎮",5
"台東縣","鹿野鄉",5
"嘉義市","東區",68
"嘉義市","西區",85
"嘉義縣","中埔鄉",12
"嘉義縣","六腳鄉",4
"嘉義縣","大埔鄉",2
"嘉義縣","大林鎮",12
"嘉義縣","太保市",19
"嘉義縣","布袋鎮",8
"嘉義縣","新港鄉",9
"嘉義縣","朴子市",31
"嘉義縣","東石鄉",4
"嘉義縣","梅山鄉",8
"嘉義縣","民雄鄉",43
"嘉義縣","水上鄉",33
"嘉義縣","溪口鄉",11
"嘉義縣","番路鄉",5
"嘉義縣","竹崎鄉",18
"嘉義縣","義竹鄉",1
"嘉義縣","阿里山鄉",4
"嘉義縣","鹿草鄉",4
"基隆市","七堵區",580
"基隆市","中山區",365
"基隆市","中正區",667
"基隆市","仁愛區",316
"基隆市","信義區",556
"基隆市","安樂區",866
"基隆市","暖暖區",307
"宜蘭縣","三星鄉",50
"宜蘭縣","五結鄉",150
"宜蘭縣","冬山鄉",131
"宜蘭縣","南澳鄉",39
"宜蘭縣","員山鄉",73
"宜蘭縣","壯圍鄉",81
"宜蘭縣","大同鄉",13
"宜蘭縣","宜蘭市",376
"宜蘭縣","礁溪鄉",121
"宜蘭縣","羅東鎮",215
"宜蘭縣","蘇澳鎮",74
"宜蘭縣","頭城鎮",53
"屏東縣","三地門鄉",8
"屏東縣","九如鄉",16
"屏東縣","佳冬鄉",6
"屏東縣","來義鄉",13
"屏東縣","內埔鄉",23
"屏東縣","南州鄉",2
"屏東縣","屏東市",342
"屏東縣","崁頂鄉",1
"屏東縣","恆春鎮",49
"屏東縣","新園鄉",44
"屏東縣","新埤鄉",3
"屏東縣","春日鄉",6
"屏東縣","東港鎮",74
"屏東縣","枋寮鄉",8
"屏東縣","枋山鄉",3
"屏東縣","林邊鄉",2
"屏東縣","泰武鄉",13
"屏東縣","滿州鄉",4
"屏東縣","潮州鎮",42
"屏東縣","牡丹鄉",7
"屏東縣","獅子鄉",7
"屏東縣","琉球鄉",3
"屏東縣","瑪家鄉",6
"屏東縣","竹田鄉",12
"屏東縣","萬丹鄉",56
"屏東縣","萬巒鄉",11
"屏東縣","車城鄉",2
"屏東縣","里港鄉",11
"屏東縣","長治鄉",16
"屏東縣","霧台鄉",2
"屏東縣","高樹鄉",4
"屏東縣","鹽埔鄉",9
"屏東縣","麟洛鄉",7
"彰化縣","二林鎮",22
"彰化縣","二水鄉",2
"彰化縣","伸港鄉",19
"彰化縣","北斗鎮",18
"彰化縣","和美鎮",60
"彰化縣","員林市",71
"彰化縣","埔心鄉",18
"彰化縣","埔鹽鄉",8
"彰化縣","埤頭鄉",17
"彰化縣","大城鄉",4
"彰化縣","大村鄉",15
"彰化縣","彰化市",217
"彰化縣","永靖鄉",13
"彰化縣","溪州鄉",24
"彰化縣","溪湖鎮",13
"彰化縣","田中鎮",28
"彰化縣","田尾鄉",12
"彰化縣","社頭鄉",11
"彰化縣","福興鄉",14
"彰化縣","秀水鄉",14
"彰化縣","竹塘鄉",4
"彰化縣","線西鄉",8
"彰化縣","芬園鄉",12
"彰化縣","花壇鄉",24
"彰化縣","芳苑鄉",10
"彰化縣","鹿港鎮",52
"新北市","三峽區",442
"新北市","三芝區",85
"新北市","三重區",5746
"新北市","中和區",6090
"新北市","五股區",980
"新北市","八里區",277
"新北市","土城區",2574
"新北市","坪林區",9
"新北市","平溪區",2
"新北市","新店區",3802
"新北市","新莊區",6202
"新北市","板橋區",7384
"新北市","林口區",884
"新北市","樹林區",1712
"新北市","永和區",2301
"新北市","汐止區",2480
"新北市","泰山區",670
"新北市","淡水區",1573
"新北市","深坑區",206
"新北市","烏來區",18
"新北市","瑞芳區",288
"新北市","石碇區",18
"新北市","石門區",3
"新北市","萬里區",94
"新北市","蘆洲區",2066
"新北市","貢寮區",20
"新北市","金山區",63
"新北市","雙溪區",15
"新北市","鶯歌區",447
"新竹市","北區",185
"新竹市","東區",497
"新竹市","香山區",96
"新竹縣","五峰鄉",7
"新竹縣","北埔鄉",3
"新竹縣","寶山鄉",37
"新竹縣","尖石鄉",38
"新竹縣","峨眉鄉",7
"新竹縣","新埔鎮",22
"新竹縣","新豐鄉",119
"新竹縣","橫山鄉",7
"新竹縣","湖口鄉",261
"新竹縣","竹北市",469
"新竹縣","竹東鎮",178
"新竹縣","芎林鄉",25
"新竹縣","關西鎮",26
"桃園市","中壢區",2955
"桃園市","八德區",2147
"桃園市","大園區",524
"桃園市","大溪區",393
"桃園市","平鎮區",1164
"桃園市","復興區",28
"桃園市","新屋區",229
"桃園市","桃園區",6734
"桃園市","楊梅區",756
"桃園市","蘆竹區",1608
"桃園市","觀音區",345
"桃園市","龍潭區",615
"桃園市","龜山區",1966
"澎湖縣","望安鄉",2
"澎湖縣","湖西鄉",10
"澎湖縣","白沙鄉",6
"澎湖縣","西嶼鄉",8
"澎湖縣","馬公市",61
"花蓮縣","光復鄉",18
"花蓮縣","卓溪鄉",11
"花蓮縣","吉安鄉",308
"花蓮縣","壽豐鄉",45
"花蓮縣","富里鄉",24
"花蓮縣","新城鄉",75
