"確定病名","發病年份","發病週別","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","2021","17","台北市","萬華區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","19","台北市","信義區","F","否","60-64",3,2
"嚴重特殊傳染性肺炎","2021","19","台北市","南港區","M","否","65-69",3,2
"嚴重特殊傳染性肺炎","2021","19","台北市","士林區","M","否","60-64",3,2
"嚴重特殊傳染性肺炎","2021","19","台北市","大同區","M","否","70+",6,5
"嚴重特殊傳染性肺炎","2021","19","台北市","萬華區","F","否","50-54",56,57
"嚴重特殊傳染性肺炎","2021","19","台北市","萬華區","M","否","45-49",10,9
"嚴重特殊傳染性肺炎","2021","19","新北市","中和區","M","否","70+",9,10
"嚴重特殊傳染性肺炎","2021","19","新北市","土城區","F","否","70+",4,5
"嚴重特殊傳染性肺炎","2021","19","新北市","新店區","M","否","55-59",4,3
"嚴重特殊傳染性肺炎","2021","19","新北市","板橋區","M","否","60-64",12,11
"嚴重特殊傳染性肺炎","2021","19","新北市","永和區","F","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","19","桃園市","桃園區","M","否","45-49",1,2
"嚴重特殊傳染性肺炎","2021","20","台北市","中正區","F","否","30-34",3,2
"嚴重特殊傳染性肺炎","2021","20","台北市","信義區","F","否","25-29",4,3
"嚴重特殊傳染性肺炎","2021","20","台北市","信義區","F","否","70+",4,3
"嚴重特殊傳染性肺炎","2021","20","台北市","信義區","M","否","55-59",7,6
"嚴重特殊傳染性肺炎","2021","20","台北市","北投區","F","否","40-44",2,1
"嚴重特殊傳染性肺炎","2021","20","台北市","南港區","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","20","台北市","南港區","F","否","70+",3,2
"嚴重特殊傳染性肺炎","2021","20","台北市","南港區","M","否","65-69",1,2
"嚴重特殊傳染性肺炎","2021","20","台北市","大同區","F","否","70+",4,3
"嚴重特殊傳染性肺炎","2021","20","台北市","大同區","M","否","70+",9,10
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","F","否","70+",5,4
"嚴重特殊傳染性肺炎","2021","20","台北市","松山區","F","否","70+",5,4
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","F","否","40-44",20,21
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","F","否","50-54",61,60
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","F","否","60-64",40,39
"嚴重特殊傳染性肺炎","2021","20","台北市","萬華區","M","否","15-19",5,4
"嚴重特殊傳染性肺炎","2021","20","基隆市","仁愛區","M","否","70+",2,1
"嚴重特殊傳染性肺炎","2021","20","新北市","中和區","M","否","70+",24,23
"嚴重特殊傳染性肺炎","2021","20","新北市","五股區","M","否","55-59",3,2
"嚴重特殊傳染性肺炎","2021","20","新北市","五股區","M","否","70+",3,4
"嚴重特殊傳染性肺炎","2021","20","新北市","土城區","F","否","25-29",4,5
"嚴重特殊傳染性肺炎","2021","20","新北市","土城區","F","否","70+",2,1
"嚴重特殊傳染性肺炎","2021","20","新北市","土城區","M","否","65-69",15,14
"嚴重特殊傳染性肺炎","2021","20","新北市","新店區","M","否","55-59",6,7
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","M","否","60-64",29,30
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","M","否","65-69",39,37
"嚴重特殊傳染性肺炎","2021","20","新北市","汐止區","M","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","20","新北市","泰山區","M","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","20","桃園市","桃園區","M","否","60-64",1,2
"嚴重特殊傳染性肺炎","2021","20","桃園市","龍潭區","M","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","20","澎湖縣","湖西鄉","M","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","21","台北市","中正區","F","否","30-34",3,5
"嚴重特殊傳染性肺炎","2021","21","台北市","中正區","M","否","70+",8,10
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","F","否","20-24",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","F","否","25-29",1,2
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","F","否","30-34",5,4
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","F","否","60-64",2,3
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","F","否","70+",10,11
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","M","否","35-39",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","信義區","M","否","55-59",2,3
"嚴重特殊傳染性肺炎","2021","21","台北市","北投區","F","否","40-44",1,2
"嚴重特殊傳染性肺炎","2021","21","台北市","北投區","F","否","50-54",1,2
"嚴重特殊傳染性肺炎","2021","21","台北市","北投區","M","否","50-54",3,4
"嚴重特殊傳染性肺炎","2021","21","台北市","南港區","F","否","30-34",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","南港區","F","否","70+",5,6
"嚴重特殊傳染性肺炎","2021","21","台北市","南港區","M","否","60-64",1,2
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","F","否","50-54",6,7
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","M","否","60-64",7,8
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","F","否","60-64",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","F","否","70+",7,8
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","U","否","60-64",NA,1
"嚴重特殊傳染性肺炎","2021","21","台北市","大安區","F","否","70+",10,11
"嚴重特殊傳染性肺炎","2021","21","台北市","大安區","M","否","60-64",6,5
"嚴重特殊傳染性肺炎","2021","21","台北市","文山區","F","否","60-64",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","文山區","F","否","70+",10,11
"嚴重特殊傳染性肺炎","2021","21","台北市","松山區","F","否","40-44",1,2
"嚴重特殊傳染性肺炎","2021","21","台北市","松山區","F","否","70+",5,6
"嚴重特殊傳染性肺炎","2021","21","台北市","松山區","M","否","40-44",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","50-54",19,20
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","60-64",20,21
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","65-69",22,21
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","60-64",16,15
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","70+",42,41
"嚴重特殊傳染性肺炎","2021","21","台南市","仁德區","F","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","21","基隆市","仁愛區","M","否","70+",2,3
"嚴重特殊傳染性肺炎","2021","21","基隆市","信義區","M","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","21","基隆市","安樂區","M","否","70+",4,3
"嚴重特殊傳染性肺炎","2021","21","新北市","三峽區","M","否","40-44",3,4
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","40-44",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","60-64",12,10
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","30-34",4,5
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","60-64",13,14
"嚴重特殊傳染性肺炎","2021","21","新北市","中和區","M","否","30-34",9,8
"嚴重特殊傳染性肺炎","2021","21","新北市","五股區","M","否","70+",3,2
"嚴重特殊傳染性肺炎","2021","21","新北市","新店區","F","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","21","新北市","新莊區","M","否","70+",11,10
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","50-54",13,12
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","65-69",13,14
"嚴重特殊傳染性肺炎","2021","21","新北市","林口區","F","否","50-54",3,2
"嚴重特殊傳染性肺炎","2021","21","新北市","永和區","F","否","20-24",2,1
"嚴重特殊傳染性肺炎","2021","21","新北市","永和區","F","否","50-54",5,6
"嚴重特殊傳染性肺炎","2021","21","新北市","永和區","M","否","30-34",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","永和區","M","否","45-49",10,9
"嚴重特殊傳染性肺炎","2021","21","新北市","汐止區","F","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","21","新北市","汐止區","F","否","55-59",5,4
"嚴重特殊傳染性肺炎","2021","21","新北市","汐止區","M","否","70+",4,5
"嚴重特殊傳染性肺炎","2021","21","新北市","泰山區","M","否","65-69",NA,1
"嚴重特殊傳染性肺炎","2021","21","新北市","淡水區","F","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","F","否","30-34",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","鶯歌區","F","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","21","澎湖縣","湖西鄉","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","21","苗栗縣","竹南鎮","F","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","21","苗栗縣","竹南鎮","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","22","台中市","沙鹿區","M","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","F","否","25-29",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","F","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","M","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","F","否","55-59",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","M","否","70+",5,3
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","F","否","20-24",2,3
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","F","否","30-34",1,2
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","M","否","35-39",NA,1
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","F","否","30-34",4,3
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","F","否","35-39",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","F","否","70+",5,4
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","M","否","45-49",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","M","否","70+",3,1
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","25-29",2,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","30-34",4,1
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","35-39",6,2
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","40-44",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","60-64",NA,1
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","35-39",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","40-44",2,3
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","55-59",5,4
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","70+",9,8
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","M","否","30-34",4,3
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","M","否","40-44",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","F","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","M","否","40-44",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","M","否","60-64",5,4
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","F","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","M","否","40-44",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","M","否","60-64",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","文山區","F","否","40-44",5,4
"嚴重特殊傳染性肺炎","2021","22","台北市","文山區","F","否","50-54",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","松山區","M","否","40-44",NA,1
"嚴重特殊傳染性肺炎","2021","22","台北市","松山區","M","否","55-59",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","萬華區","F","否","40-44",9,6
"嚴重特殊傳染性肺炎","2021","22","台北市","萬華區","F","否","65-69",9,6
"嚴重特殊傳染性肺炎","2021","22","台北市","萬華區","F","否","70+",22,18
"嚴重特殊傳染性肺炎","2021","22","台北市","萬華區","M","否","30-34",5,4
"嚴重特殊傳染性肺炎","2021","22","台北市","萬華區","M","否","35-39",6,5
"嚴重特殊傳染性肺炎","2021","22","台北市","萬華區","M","否","70+",30,28
"嚴重特殊傳染性肺炎","2021","22","基隆市","中山區","M","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","22","基隆市","仁愛區","M","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","22","基隆市","安樂區","M","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","22","基隆市","安樂區","M","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","22","基隆市","安樂區","M","否","70+",NA,1
"嚴重特殊傳染性肺炎","2021","22","基隆市","暖暖區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","22","宜蘭縣","宜蘭市","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","22","屏東縣","屏東市","F","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","22","彰化縣","二林鎮","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","22","彰化縣","埔心鄉","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","22","彰化縣","埤頭鄉","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","22","彰化縣","埤頭鄉","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","22","彰化縣","大村鄉","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","22","新北市","三峽區","F","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","22","新北市","三峽區","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","F","否","10-14",2,1
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","F","否","20-24",1,2
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","F","否","25-29",4,3
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","F","否","35-39",3,2
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","F","否","45-49",4,3
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","F","否","60-64",2,3
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","F","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","M","否","25-29",6,7
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","M","否","35-39",5,6
"嚴重特殊傳染性肺炎","2021","22","新北市","三重區","M","否","40-44",10,11
