"縣市","鄉鎮","Sum_Local.x"
"南投縣","中寮鄉",14
"南投縣","仁愛鄉",23
"南投縣","信義鄉",21
"南投縣","南投市",252
"南投縣","名間鄉",27
"南投縣","國姓鄉",15
"南投縣","埔里鎮",186
"南投縣","水里鄉",14
"南投縣","竹山鎮",81
"南投縣","草屯鎮",242
"南投縣","集集鎮",8
"南投縣","魚池鄉",12
"南投縣","鹿谷鄉",27
"台中市","中區",35
"台中市","北區",467
"台中市","北屯區",1027
"台中市","南區",413
"台中市","南屯區",593
"台中市","后里區",126
"台中市","和平區",9
"台中市","外埔區",45
"台中市","大安區",22
"台中市","大甲區",142
"台中市","大肚區",83
"台中市","大里區",572
"台中市","大雅區",259
"台中市","太平區",461
"台中市","新社區",35
"台中市","東勢區",91
"台中市","東區",193
"台中市","梧棲區",120
"台中市","沙鹿區",294
"台中市","清水區",204
"台中市","潭子區",305
"台中市","烏日區",185
"台中市","石岡區",13
"台中市","神岡區",123
"台中市","西區",455
"台中市","西屯區",1107
"台中市","豐原區",481
"台中市","霧峰區",111
"台中市","龍井區",227
"台北市","中山區",858
"台北市","中正區",302
"台北市","信義區",662
"台北市","內湖區",937
"台北市","北投區",617
"台北市","南港區",339
"台北市","士林區",628
"台北市","大同區",347
"台北市","大安區",679
"台北市","文山區",686
"台北市","松山區",503
"台北市","萬華區",395
"台南市","七股區",10
"台南市","下營區",23
"台南市","中西區",182
"台南市","仁德區",179
"台南市","佳里區",99
"台南市","六甲區",21
"台南市","北區",334
"台南市","北門區",7
"台南市","南化區",5
"台南市","南區",264
"台南市","善化區",115
"台南市","大內區",6
"台南市","學甲區",23
"台南市","安南區",533
"台南市","安定區",40
"台南市","安平區",159
"台南市","官田區",34
"台南市","將軍區",18
"台南市","山上區",39
"台南市","左鎮區",6
"台南市","後壁區",21
"台南市","新化區",64
"台南市","新市區",105
"台南市","新營區",150
"台南市","東區",654
"台南市","東山區",26
"台南市","柳營區",31
"台南市","楠西區",6
"台南市","歸仁區",169
"台南市","永康區",985
"台南市","玉井區",20
"台南市","白河區",34
"台南市","西港區",29
"台南市","關廟區",51
"台南市","鹽水區",28
"台南市","麻豆區",52
"台南市","龍崎區",1
"台東縣","卑南鄉",38
"台東縣","台東市",395
"台東縣","大武鄉",10
"台東縣","太麻里鄉",9
"台東縣","延平鄉",5
"台東縣","成功鎮",7
"台東縣","東河鄉",12
"台東縣","池上鄉",13
"台東縣","海端鄉",15
"台東縣","綠島鄉",3
"台東縣","蘭嶼鄉",26
"台東縣","達仁鄉",1
"台東縣","長濱鄉",3
"台東縣","關山鎮",12
"台東縣","鹿野鄉",15
"嘉義市","東區",298
"嘉義市","西區",305
"嘉義縣","中埔鄉",43
"嘉義縣","六腳鄉",34
"嘉義縣","大林鎮",66
"嘉義縣","太保市",65
"嘉義縣","布袋鎮",25
"嘉義縣","新港鄉",64
"嘉義縣","朴子市",58
"嘉義縣","東石鄉",9
"嘉義縣","梅山鄉",10
"嘉義縣","民雄鄉",326
"嘉義縣","水上鄉",66
"嘉義縣","溪口鄉",11
"嘉義縣","番路鄉",14
"嘉義縣","竹崎鄉",29
"嘉義縣","義竹鄉",13
"嘉義縣","阿里山鄉",8
"嘉義縣","鹿草鄉",8
"基隆市","七堵區",115
"基隆市","中山區",48
"基隆市","中正區",122
"基隆市","仁愛區",47
"基隆市","信義區",99
"基隆市","安樂區",197
"基隆市","暖暖區",55
"宜蘭縣","三星鄉",38
"宜蘭縣","五結鄉",142
"宜蘭縣","冬山鄉",231
"宜蘭縣","南澳鄉",11
"宜蘭縣","員山鄉",94
"宜蘭縣","壯圍鄉",44
"宜蘭縣","大同鄉",6
"宜蘭縣","宜蘭市",335
"宜蘭縣","礁溪鄉",78
"宜蘭縣","羅東鎮",278
"宜蘭縣","蘇澳鎮",89
"宜蘭縣","頭城鎮",63
"屏東縣","三地門鄉",1
"屏東縣","九如鄉",35
"屏東縣","佳冬鄉",14
"屏東縣","來義鄉",7
"屏東縣","內埔鄉",109
"屏東縣","南州鄉",17
"屏東縣","屏東市",491
"屏東縣","崁頂鄉",17
"屏東縣","恆春鎮",96
"屏東縣","新園鄉",48
"屏東縣","新埤鄉",3
"屏東縣","春日鄉",3
"屏東縣","東港鎮",73
"屏東縣","枋寮鄉",37
"屏東縣","枋山鄉",3
"屏東縣","林邊鄉",17
"屏東縣","泰武鄉",13
"屏東縣","滿州鄉",4
"屏東縣","潮州鎮",113
"屏東縣","牡丹鄉",7
"屏東縣","獅子鄉",3
"屏東縣","琉球鄉",12
"屏東縣","瑪家鄉",11
"屏東縣","竹田鄉",17
"屏東縣","萬丹鄉",106
"屏東縣","萬巒鄉",30
"屏東縣","車城鄉",10
"屏東縣","里港鄉",21
"屏東縣","長治鄉",59
"屏東縣","霧台鄉",2
"屏東縣","高樹鄉",23
"屏東縣","鹽埔鄉",29
"屏東縣","麟洛鄉",13
"彰化縣","二林鎮",83
"彰化縣","二水鄉",18
"彰化縣","伸港鄉",38
"彰化縣","北斗鎮",45
"彰化縣","和美鎮",268
"彰化縣","員林市",246
"彰化縣","埔心鄉",64
"彰化縣","埔鹽鄉",51
"彰化縣","埤頭鄉",39
"彰化縣","大城鄉",14
"彰化縣","大村鄉",40
"彰化縣","彰化市",699
"彰化縣","永靖鄉",55
"彰化縣","溪州鄉",38
"彰化縣","溪湖鎮",61
"彰化縣","田中鎮",54
"彰化縣","田尾鄉",29
"彰化縣","社頭鄉",90
"彰化縣","福興鄉",109
"彰化縣","秀水鄉",63
"彰化縣","竹塘鄉",19
"彰化縣","線西鄉",19
"彰化縣","芬園鄉",47
"彰化縣","花壇鄉",88
"彰化縣","芳苑鄉",35
"彰化縣","鹿港鎮",207
"新北市","三峽區",241
"新北市","三芝區",22
"新北市","三重區",1300
"新北市","中和區",1879
"新北市","五股區",267
"新北市","八里區",85
"新北市","土城區",546
"新北市","坪林區",3
"新北市","新店區",1094
"新北市","新莊區",1191
"新北市","板橋區",2008
"新北市","林口區",349
"新北市","樹林區",414
"新北市","永和區",745
"新北市","汐止區",775
"新北市","泰山區",140
"新北市","淡水區",521
"新北市","深坑區",64
"新北市","烏來區",4
"新北市","瑞芳區",30
"新北市","石碇區",6
"新北市","石門區",5
"新北市","萬里區",8
"新北市","蘆洲區",519
"新北市","貢寮區",2
"新北市","金山區",14
"新北市","雙溪區",4
"新北市","鶯歌區",187
"新竹市","北區",364
"新竹市","東區",744
"新竹市","香山區",197
"新竹縣","五峰鄉",10
"新竹縣","北埔鄉",7
"新竹縣","寶山鄉",35
"新竹縣","尖石鄉",20
"新竹縣","峨眉鄉",2
"新竹縣","新埔鎮",52
"新竹縣","新豐鄉",149
"新竹縣","橫山鄉",19
"新竹縣","湖口鄉",226
"新竹縣","竹北市",641
"新竹縣","竹東鎮",234
"新竹縣","芎林鄉",47
"新竹縣","關西鎮",33
"桃園市","中壢區",1843
"桃園市","八德區",779
"桃園市","大園區",221
"桃園市","大溪區",168
"桃園市","平鎮區",776
"桃園市","復興區",14
"桃園市","新屋區",129
"桃園市","桃園區",1725
"桃園市","楊梅區",496
"桃園市","蘆竹區",506
"桃園市","觀音區",200
"桃園市","龍潭區",327
"桃園市","龜山區",516
"澎湖縣","七美鄉",2
"澎湖縣","望安鄉",3
"澎湖縣","湖西鄉",24
"澎湖縣","白沙鄉",10
"澎湖縣","西嶼鄉",7
"澎湖縣","馬公市",193
"花蓮縣","光復鄉",7
"花蓮縣","卓溪鄉",13
"花蓮縣","吉安鄉",347
"花蓮縣","壽豐鄉",34
"花蓮縣","富里鄉",9
"花蓮縣","新城鄉",55
"花蓮縣","玉里鎮",31
"花蓮縣","瑞穗鄉",8
"花蓮縣","秀林鄉",11
"花蓮縣","花蓮市",398
"花蓮縣","萬榮鄉",9
"花蓮縣","豐濱鄉",2
"花蓮縣","鳳林鎮",5
"苗栗縣","三灣鄉",10
"苗栗縣","三義鄉",11
"苗栗縣","公館鄉",40
"苗栗縣","卓蘭鎮",22
"苗栗縣","南庄鄉",5
"苗栗縣","大湖鄉",14
"苗栗縣","後龍鎮",43
"苗栗縣","泰安鄉",5
"苗栗縣","獅潭鄉",5
"苗栗縣","竹南鎮",277
"苗栗縣","苑裡鎮",80
"苗栗縣","苗栗市",221
"苗栗縣","西湖鄉",4
"苗栗縣","通霄鎮",71
"苗栗縣","造橋鄉",11
"苗栗縣","銅鑼鄉",21
"苗栗縣","頭份市",257
"苗栗縣","頭屋鄉",16
"連江縣","北竿鄉",3
"連江縣","南竿鄉",20
"連江縣","莒光鄉",1
"金門縣","烈嶼鄉",5
"金門縣","金城鎮",57
"金門縣","金寧鄉",76
"金門縣","金沙鎮",22
"金門縣","金湖鎮",76
"雲林縣","二崙鄉",21
"雲林縣","元長鄉",15
"雲林縣","北港鎮",59
"雲林縣","口湖鄉",27
"雲林縣","古坑鄉",39
"雲林縣","台西鄉",27
