"確定病名","發病年份","縣市","性別","是否為境外移入","年齡層","發病週別.x","確定病例數.x","發病週別.y","確定病例數.y"
"嚴重特殊傳染性肺炎","2020","台中市","F","是","35-39","29",1,NA,NA
"嚴重特殊傳染性肺炎","2020","台北市","F","是","30-34","12",3,"12",4
"嚴重特殊傳染性肺炎","2020","台北市","F","是","30-34","12",3,"13",3
"嚴重特殊傳染性肺炎","2020","台北市","F","是","30-34","13",4,"12",4
"嚴重特殊傳染性肺炎","2020","台北市","F","是","30-34","13",4,"13",3
"嚴重特殊傳染性肺炎","2020","台北市","F","是","60-64","14",1,"14",2
"嚴重特殊傳染性肺炎","2020","台北市","F","是","60-64","15",1,"14",2
"嚴重特殊傳染性肺炎","2020","基隆市","M","是","25-29","17",1,"16",1
"嚴重特殊傳染性肺炎","2020","新北市","F","是","45-49","12",1,"12",2
"嚴重特殊傳染性肺炎","2020","新北市","F","是","45-49","14",1,"12",2
"嚴重特殊傳染性肺炎","2020","桃園市","F","否","25-29","10",1,"9",2
"嚴重特殊傳染性肺炎","2020","桃園市","F","否","25-29","9",1,"9",2
"嚴重特殊傳染性肺炎","2020","桃園市","M","否","20-24","10",1,"9",1
