"確定病名","發病年份","發病週別","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","2021","17","新北市","淡水區","F","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","19","台北市","大同區","M","否","55-59",2,1
"嚴重特殊傳染性肺炎","2021","19","台北市","文山區","M","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","19","台北市","萬華區","M","否","55-59",17,16
"嚴重特殊傳染性肺炎","2021","19","新北市","三重區","M","否","55-59",7,8
"嚴重特殊傳染性肺炎","2021","19","新北市","中和區","F","否","40-44",8,9
"嚴重特殊傳染性肺炎","2021","19","新北市","土城區","M","否","70+",5,4
"嚴重特殊傳染性肺炎","2021","19","新北市","板橋區","F","否","40-44",8,6
"嚴重特殊傳染性肺炎","2021","19","新北市","板橋區","F","否","65-69",11,10
"嚴重特殊傳染性肺炎","2021","20","南投縣","草屯鎮","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","20","台北市","中山區","M","否","50-54",7,6
"嚴重特殊傳染性肺炎","2021","20","台北市","中山區","M","否","60-64",4,3
"嚴重特殊傳染性肺炎","2021","20","台北市","中正區","F","否","50-54",6,5
"嚴重特殊傳染性肺炎","2021","20","台北市","信義區","M","否","45-49",2,3
"嚴重特殊傳染性肺炎","2021","20","台北市","信義區","M","否","70+",7,8
"嚴重特殊傳染性肺炎","2021","20","台北市","大安區","F","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","20","台北市","大安區","M","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","M","否","45-49",3,2
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","M","否","50-54",6,5
"嚴重特殊傳染性肺炎","2021","20","台北市","文山區","M","否","70+",10,9
"嚴重特殊傳染性肺炎","2021","20","基隆市","中山區","F","否","55-59",3,2
"嚴重特殊傳染性肺炎","2021","20","彰化縣","二林鎮","F","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","20","彰化縣","埤頭鄉","M","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","20","彰化縣","芬園鄉","F","否","30-34",NA,1
"嚴重特殊傳染性肺炎","2021","20","新北市","三重區","F","否","40-44",13,14
"嚴重特殊傳染性肺炎","2021","20","新北市","三重區","F","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","20","新北市","三重區","M","否","40-44",7,6
"嚴重特殊傳染性肺炎","2021","20","新北市","三重區","M","否","45-49",6,5
"嚴重特殊傳染性肺炎","2021","20","新北市","三重區","M","否","70+",20,19
"嚴重特殊傳染性肺炎","2021","20","新北市","土城區","M","否","35-39",2,1
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","F","否","15-19",3,2
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","F","否","35-39",14,13
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","F","否","45-49",17,16
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","F","否","65-69",27,25
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","M","否","35-39",17,16
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","M","否","40-44",10,9
"嚴重特殊傳染性肺炎","2021","20","新北市","板橋區","M","否","65-69",37,35
"嚴重特殊傳染性肺炎","2021","20","新北市","永和區","M","否","70+",14,13
"嚴重特殊傳染性肺炎","2021","20","新北市","蘆洲區","F","否","40-44",3,2
"嚴重特殊傳染性肺炎","2021","20","桃園市","蘆竹區","M","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","21","台中市","大雅區","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","21","台北市","中山區","F","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","中山區","M","否","55-59",5,3
"嚴重特殊傳染性肺炎","2021","21","台北市","中山區","M","否","65-69",2,3
"嚴重特殊傳染性肺炎","2021","21","台北市","中山區","M","否","70+",6,4
"嚴重特殊傳染性肺炎","2021","21","台北市","中正區","F","否","45-49",6,5
"嚴重特殊傳染性肺炎","2021","21","台北市","中正區","F","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","中正區","M","否","40-44",6,5
"嚴重特殊傳染性肺炎","2021","21","台北市","內湖區","F","否","65-69",4,2
"嚴重特殊傳染性肺炎","2021","21","台北市","內湖區","M","否","1",1,NA
"嚴重特殊傳染性肺炎","2021","21","台北市","內湖區","M","否","35-39",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","內湖區","M","否","55-59",5,4
"嚴重特殊傳染性肺炎","2021","21","台北市","內湖區","M","否","65-69",5,4
"嚴重特殊傳染性肺炎","2021","21","台北市","北投區","M","否","50-54",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","F","否","25-29",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","F","否","40-44",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","F","否","55-59",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","F","否","65-69",7,6
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","F","否","70+",5,4
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","M","否","15-19",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","M","否","20-24",5,4
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","M","否","25-29",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","M","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","士林區","M","否","65-69",7,4
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","F","否","25-29",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","F","否","45-49",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","F","否","50-54",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","F","否","55-59",6,5
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","M","否","40-44",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","大同區","M","否","70+",8,7
"嚴重特殊傳染性肺炎","2021","21","台北市","大安區","F","否","35-39",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","文山區","F","否","60-64",3,2
"嚴重特殊傳染性肺炎","2021","21","台北市","文山區","F","否","70+",11,10
"嚴重特殊傳染性肺炎","2021","21","台北市","文山區","M","否","35-39",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","文山區","M","否","55-59",8,7
"嚴重特殊傳染性肺炎","2021","21","台北市","文山區","M","否","70+",9,8
"嚴重特殊傳染性肺炎","2021","21","台北市","松山區","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","21","台北市","松山區","F","否","35-39",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","松山區","M","否","60-64",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","松山區","M","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","25-29",4,5
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","30-34",12,11
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","35-39",12,11
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","40-44",22,19
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","45-49",9,8
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","5-9",4,3
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","50-54",18,17
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","55-59",21,19
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","60-64",19,16
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","65-69",20,18
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","F","否","70+",29,26
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","10-14",7,5
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","25-29",5,4
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","35-39",11,9
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","45-49",9,7
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","50-54",8,7
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","55-59",24,20
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","60-64",14,13
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","65-69",24,21
"嚴重特殊傳染性肺炎","2021","21","台北市","萬華區","M","否","70+",40,37
"嚴重特殊傳染性肺炎","2021","21","彰化縣","二林鎮","M","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","21","彰化縣","埤頭鄉","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","21","彰化縣","埤頭鄉","M","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","21","彰化縣","竹塘鄉","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","15-19",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","20-24",6,4
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","25-29",4,2
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","30-34",5,4
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","35-39",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","40-44",4,3
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","45-49",3,2
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","55-59",10,7
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","60-64",10,8
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","F","否","70+",18,16
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","25-29",7,4
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","35-39",6,3
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","40-44",7,6
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","55-59",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","60-64",10,7
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","65-69",9,7
"嚴重特殊傳染性肺炎","2021","21","新北市","三重區","M","否","70+",15,13
"嚴重特殊傳染性肺炎","2021","21","新北市","中和區","F","否","25-29",11,10
"嚴重特殊傳染性肺炎","2021","21","新北市","中和區","F","否","40-44",9,8
"嚴重特殊傳染性肺炎","2021","21","新北市","中和區","F","否","45-49",7,6
"嚴重特殊傳染性肺炎","2021","21","新北市","中和區","F","否","50-54",12,11
"嚴重特殊傳染性肺炎","2021","21","新北市","中和區","M","否","65-69",15,14
"嚴重特殊傳染性肺炎","2021","21","新北市","五股區","F","否","40-44",2,1
"嚴重特殊傳染性肺炎","2021","21","新北市","五股區","M","否","5-9",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","五股區","M","否","70+",2,1
"嚴重特殊傳染性肺炎","2021","21","新北市","土城區","F","否","55-59",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","土城區","M","否","70+",5,4
"嚴重特殊傳染性肺炎","2021","21","新北市","新店區","F","否","55-59",1,2
"嚴重特殊傳染性肺炎","2021","21","新北市","新莊區","F","否","25-29",4,5
"嚴重特殊傳染性肺炎","2021","21","新北市","新莊區","F","否","65-69",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","10-14",4,3
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","25-29",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","35-39",16,13
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","40-44",11,9
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","45-49",9,7
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","50-54",10,9
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","60-64",10,9
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","65-69",15,14
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","F","否","70+",10,9
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","10-14",3,1
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","2",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","20-24",7,6
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","25-29",6,5
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","40-44",11,10
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","5-9",3,2
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","55-59",12,11
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","60-64",12,11
"嚴重特殊傳染性肺炎","2021","21","新北市","板橋區","M","否","70+",27,28
"嚴重特殊傳染性肺炎","2021","21","新北市","樹林區","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","永和區","F","否","40-44",6,7
"嚴重特殊傳染性肺炎","2021","21","新北市","永和區","F","否","45-49",7,6
"嚴重特殊傳染性肺炎","2021","21","新北市","永和區","M","否","60-64",6,7
"嚴重特殊傳染性肺炎","2021","21","新北市","汐止區","F","否","65-69",1,2
"嚴重特殊傳染性肺炎","2021","21","新北市","汐止區","F","否","70+",7,6
"嚴重特殊傳染性肺炎","2021","21","新北市","汐止區","M","否","20-24",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","泰山區","F","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","21","新北市","淡水區","M","否","20-24",2,1
"嚴重特殊傳染性肺炎","2021","21","新北市","萬里區","F","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","F","否","30-34",5,4
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","F","否","40-44",3,2
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","F","否","5-9",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","F","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","M","否","10-14",3,2
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","M","否","15-19",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","M","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","M","否","30-34",3,1
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","M","否","45-49",7,6
"嚴重特殊傳染性肺炎","2021","21","新北市","蘆洲區","M","否","65-69",2,NA
"嚴重特殊傳染性肺炎","2021","21","桃園市","大溪區","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","21","桃園市","大溪區","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","21","桃園市","蘆竹區","F","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","21","桃園市","蘆竹區","F","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","21","桃園市","龜山區","F","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","21","苗栗縣","竹南鎮","M","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","21","高雄市","三民區","F","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","21","高雄市","仁武區","F","否","55-59",NA,1
"嚴重特殊傳染性肺炎","2021","22","台中市","北屯區","F","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","22","台中市","北屯區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","22","台中市","南屯區","F","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","22","台中市","西屯區","M","否","70+",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","F","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","F","否","55-59",3,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","F","否","60-64",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","F","否","65-69",2,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","M","否","10-14",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中山區","M","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","F","否","35-39",3,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","F","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","F","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","M","否","10-14",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","M","否","4",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","M","否","55-59",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","M","否","65-69",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","中正區","M","否","70+",2,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","F","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","F","否","65-69",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","F","否","70+",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","M","否","40-44",2,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","信義區","M","否","45-49",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","內湖區","F","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","內湖區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","內湖區","F","否","65-69",3,1
"嚴重特殊傳染性肺炎","2021","22","台北市","內湖區","M","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","內湖區","M","否","30-34",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","F","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","F","否","60-64",NA,1
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","M","否","35-39",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","北投區","M","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","南港區","M","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","25-29",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","30-34",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","40-44",2,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","55-59",3,1
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","60-64",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","F","否","70+",6,3
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","M","否","25-29",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","士林區","M","否","65-69",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","F","否","25-29",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","F","否","70+",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","M","否","45-49",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","M","否","50-54",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","M","否","60-64",2,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大同區","M","否","70+",4,1
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","F","否","40-44",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","F","否","50-54",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","F","否","55-59",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","F","否","70+",4,3
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","M","否","60-64",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","M","否","65-69",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","大安區","M","否","70+",3,2
"嚴重特殊傳染性肺炎","2021","22","台北市","文山區","F","否","4",1,NA
"嚴重特殊傳染性肺炎","2021","22","台北市","文山區","F","否","40-44",3,1
"嚴重特殊傳染性肺炎","2021","22","台北市","文山區","F","否","45-49",2,NA
