"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"138","6258","20220412025000","101","2","屏東縣","恆春鎮","120.745","21.945","200"
"11","6267","20220412025000","140","0","屏東縣","恆春鎮","120.790","21.945","30"
"87","9415","20220412025000","76","1","屏東縣","恆春鎮","120.715","21.970","121"
"73","9416","20220412025000","50","2","屏東縣","恆春鎮","120.845","21.970","113"
"240","15716","20220412025000","227","1","臺東縣","蘭嶼鄉","121.535","22.025","261"
"23","15719","20220412025000","302","0","臺東縣","蘭嶼鄉","121.550","22.025","31"
"32","18068","20220412025000","35","0","屏東縣","車城鄉","120.695","22.045","106"
"48","20191","20220412025000","576","0","臺東縣","蘭嶼鄉","121.570","22.065","61"
"62","40369","20220412025000","60","1","屏東縣","枋山鄉","120.660","22.245","132"
"59","46865","20220412025000","69","0","臺東縣","大武鄉","120.890","22.305","107"
"177","49782","20220412025000","165","1","屏東縣","琉球鄉","120.355","22.330","360"
"207","49783","20220412025000","146","2","屏東縣","琉球鄉","120.375","22.330","380"
"313","52213","20220412025000","257","2","屏東縣","琉球鄉","120.380","22.355","573"
"16","57554","20220412025000","16","1","屏東縣","春日鄉","120.645","22.355","22"
"13","57589","20220412025000","14","0","屏東縣","春日鄉","120.660","22.365","23"
"83","57606","20220412025000","53","3","屏東縣","春日鄉","120.665","22.365","122"
"97","57748","20220412025000","72","2","屏東縣","春日鄉","120.750","22.405","92"
"197","57758","20220412025000","157","2","屏東縣","春日鄉","120.625","22.365","239"
"222","57858","20220412025000","188","1","屏東縣","恆春鎮","120.730","21.985","248"
"14","57868","20220412025000","228","0","屏東縣","車城鄉","120.730","22.055","34"
"90","57949","20220412025000","65","2","屏東縣","車城鄉","120.715","22.050","115"
"170","57951","20220412025000","133","2","屏東縣","車城鄉","120.710","22.055","261"
"181","57952","20220412025000","150","2","屏東縣","枋寮鄉","120.595","22.375","210"
"670","57962","20220412025000","418","3","屏東縣","枋寮鄉","120.595","22.385","947"
"347","57963","20220412025000","388","0","屏東縣","枋寮鄉","120.600","22.385","466"
"14","57992","20220412025000","14","1","屏東縣","滿州鄉","120.890","22.090","28"
"18","58112","20220412025000","12","3","屏東縣","滿州鄉","120.805","22.015","24"
"124","58150","20220412025000","82","3","屏東縣","滿州鄉","120.875","22.115","100"
"125","58209","20220412025000","92","2","屏東縣","滿州鄉","120.840","21.985","225"
"46","58243","20220412025000","37","2","屏東縣","滿州鄉","120.840","22.015","63"
"251","58245","20220412025000","204","2","屏東縣","滿州鄉","120.835","22.020","326"
"21","58246","20220412025000","16","2","屏東縣","滿州鄉","120.840","22.020","17"
"119","58248","20220412025000","113","1","屏東縣","滿州鄉","120.830","22.025","199"
