"MD_","DataName","geometry","buildtime","releasetime"
"674","雨量站位置圖_水利署_現存站","點","2020/11/16","2021/01/19"
"675","近海水文潮位站位置圖","點","2019/11/08","2019/12/11"
"676","近海水文氣象站位置圖","點","2019/11/08","2019/12/11"
"677","近海水文資料浮標站位置圖","點","2019/11/08","2019/12/11"
"679","地下水觀測井位置圖_現存站","點","2020/11/16","2021/01/19"
"680","地下水觀測井位置圖_已廢站","點","2020/11/16","2021/01/19"
"681","地下水第二級管制區","面","2018/12/25","2020/07/24"
"682","地下水分區範圍圖","面","2000","2008"
"688","水庫集水區","面","2020/09/18","2020/10/21"
"689","水庫集水區敏感區範圍：邊界向內鄰近0.5公里範圍","面","2020/09/18","2020/10/21"
"690","水庫集水區敏感區範圍：邊界向外鄰近0.5公里範圍","面","2020/09/18","2020/10/21"
"683","水庫堰壩位置圖","點","2020/05/12","2020/05/14"
"684","水庫蓄水範圍","面","2020/03/31","2020/04/08"
"685","自來水水質水量保護區圖","面","2019/12/26","2020/01/10"
"686","自來水水質水量保護區圖：邊界向內鄰近0.5公里範圍","面","2019/12/26","2020/01/10"
"687","自來水水質水量保護區圖：邊界向外鄰近0.5公里範圍","面","2019/12/26","2020/01/10"
"691","一般性海堤區域","面","2021/01/27","2021/02/09"
"692","一般性海堤圖框","面","2021/01/27","2021/02/09"
"8","河川斷面樁位置圖","點","2021/04/06","2021/04/08"
"16","河川斷面線位置圖","線","2021/04/06","2021/04/08"
"10","雨量站位置圖_水利署_現存站","點","2020/11/16","2021/01/19"
"11","雨量站位置圖_水利署_已廢站","點","2020/11/16","2021/01/19"
"2","河川水位測站位置圖_現存站","點","2020/11/16","2021/01/19"
"3","河川水位測站位置圖_已廢站","點","2020/11/16","2021/01/19"
"5","河川流量測站位置圖_現存站","點","2020/11/16","2021/01/19"
"6","河川流量測站位置圖_已廢站","點","2020/11/16","2021/01/19"
"7","含沙量測站位置圖","點","2020/11/16","2021/01/19"
"12","近海水文潮位站位置圖","點","2019/11/08","2019/12/11"
"13","近海水文氣象站位置圖","點","2019/11/08","2019/12/11"
"14","近海水文資料浮標站位置圖","點","2019/11/08","2019/12/11"
"17","河川(支流)","線","2000","2008"
"18","河川(河道)","面","2000","2008"
"19","河川流域範圍圖","面","2000","2008"
"20","河川局管轄範圍圖","面","2003/08/31","2008"
"38","地層下陷水準高程檢測點","點"," 2021/07/01","2021/07/07"
"39","磁環分層式地層下陷監測井","點"," 2021/07/01","2021/07/07"
"37","地層下陷GPS監測站","點","2021/06/10","2021/07/02"
"67","臺北平均下陷速率等值圖_108至109年","點","2021/6/11","2021/07/02"
"70","彰化累積下陷量等值圖_81至109年","線","2021/6/11","2021/07/02"
"72","彰化平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"63","平均下陷速率圖_2019至2020","線","2021/6/10","2021/07/02"
"64","全台累積下陷等值圖_至109年","線","2021/6/10","2021/07/02"
"65","臺北累積下陷量等值圖_83至109年","線","2021/6/11","2021/07/02"
"74","雲林累積下陷量等值圖_81至109年","線","2021/6/11","2021/07/02"
"76","雲林平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"78","嘉義累積下陷量等值圖_80至109年","線","2021/6/11","2021/07/02"
"80","嘉義平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"84","高雄累積下陷量等值圖_95至109年","線","2021/6/11","2021/07/02"
"85","高雄平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"87","屏東累積下陷量等值圖_90至109年","線","2021/6/11","2021/07/02"
"89","屏東平均下陷速率等值圖_108至109年","線","2021/6/11","2021/07/02"
"35","地下水觀測井位置圖_現存站","點","2020/11/16","2021/01/19"
"36","地下水觀測井位置圖_已廢站","點","2020/11/16","2021/01/19"
"88","屏東平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"79","嘉義平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"75","雲林平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"71","彰化平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"61","平均下陷速率圖_2017至2018","線","2017/08/13","2020/09/15"
"91","宜蘭平均下陷速率等值圖_106至107年","線","2020/08/13","2020/09/15"
"42","地下水第一級管制區","面","2018/12/25","2020/07/24"
"43","地下水第二級管制區","面","2018/12/25","2020/07/24"
"62","平均下陷速率圖_2018至2019","線","2020/01/31","2020/05/05"
"73","雲林累積下陷量等值圖_81至108年","線","2020/01/31","2020/05/05"
"77","嘉義累積下陷量等值圖_80至108年","線","2020/01/31","2020/05/05"
"81","臺南累積下陷量等值圖_90至108年","線","2020/01/31","2020/05/05"
"86","屏東累積下陷量等值圖_83至108年","線","2020/01/31","2020/05/05"
"69","彰化累積下陷量等值圖_81至108年","線","2020/01/31","2020/05/05"
"60","平均下陷速率圖_2016至2017","線","2018/04/30","2018/12/03"
"68","桃園累積下陷量等值圖_91至106年","線","2018/01/05","2018/06/06"
"59","平均下陷速率圖_2015至2016","線","2016/05/31","2017/12/08"
"83","高雄累積下陷量等值圖_95至104年","線","2016/12/05","2017/10/26"
"40","公有單位抗旱井","點","2016/10/10","2016/11/03"
"92","海水入侵及地下水鹽化區","面","2016/10/10","2016/11/03"
"93","地下水分區第一含水層觀測井控制範圍","面","2016/10/10","2016/11/03"
"94","地下水分區第二含水層觀測井控制範圍","面","2016/10/10","2016/11/03"
