"MD_","type","ID","fname","圖徵NO","HYD類別","DataName","geometry","buildtime","releasetime","MataData_URL","MataData_XML","URL_data"
17,"SHP","MD_ID=17&type=SHP","RIVERLIN",1,"HRV_河川","河川(支流)","線","2000","2008","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=17&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=17&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RIVERLIN&filetype=SHP"
18,"SHP","MD_ID=18&type=SHP","RIVERPOLY",1,"HRV_河川","河川(河道)","面","2000","2008","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=18&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=18&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RIVERPOLY&filetype=SHP"
19,"SHP","MD_ID=19&type=SHP","BASIN",2,"HRV_河川流域","河川流域範圍圖","面","2000","2008","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=19&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=19&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=BASIN&filetype=SHP"
8,"SHP","MD_ID=8&type=SHP","RCROSPIL",3,"HRV_河川斷面樁","河川斷面樁位置圖","點","2021/04/06","2021/04/08","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=8&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=8&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RCROSPIL&filetype=SHP"
16,"SHP","MD_ID=16&type=SHP","rcrossec",4,"HRV_河川斷面線","河川斷面線位置圖","線","2021/04/06","2021/04/08","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=16&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=16&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=rcrossec&filetype=SHP"
5,"SHP","MD_ID=5&type=SHP","RIVQASTA_e",5,"HRV_河川流量測站","河川流量測站位置圖_現存站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=5&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=5&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RIVQASTA_e&filetype=SHP"
6,"SHP","MD_ID=6&type=SHP","RIVQASTA_a",5,"HRV_河川流量測站","河川流量測站位置圖_已廢站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=6&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=6&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RIVQASTA_a&filetype=SHP"
7,"SHP","MD_ID=7&type=SHP","RIVSESTA",6,"HRV_河川含沙量測站","含沙量測站位置圖","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=7&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=7&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RIVSESTA&filetype=SHP"
2,"SHP","MD_ID=2&type=SHP","RIVWLSTA_e",7,"HRV_河川水位測站","河川水位測站位置圖_現存站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=2&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=2&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RIVWLSTA_e&filetype=SHP"
3,"SHP","MD_ID=3&type=SHP","RIVWLSTA_a",7,"HRV_河川水位測站","河川水位測站位置圖_已廢站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=3&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=3&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=RIVWLSTA_a&filetype=SHP"
679,"SHP119","MD_ID=679&type=SHP119","gwobwell_e_119",12,"HGW_地下水觀測井","地下水觀測井位置圖_現存站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=679&type=SHP119","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=679&type=SHP119","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwobwell_e_119&filetype=SHP119"
680,"SHP119","MD_ID=680&type=SHP119","gwobwell_a_119",12,"HGW_地下水觀測井","地下水觀測井位置圖_已廢站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=680&type=SHP119","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=680&type=SHP119","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwobwell_a_119&filetype=SHP119"
35,"SHP","MD_ID=35&type=SHP","gwobwell_e",12,"HGW_地下水觀測井","地下水觀測井位置圖_現存站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=35&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=35&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwobwell_e&filetype=SHP"
36,"SHP","MD_ID=36&type=SHP","gwobwell_a",12,"HGW_地下水觀測井","地下水觀測井位置圖_已廢站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=36&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=36&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwobwell_a&filetype=SHP"
682,"SHP119","MD_ID=682&type=SHP119","GWREGION_119",13,"HGW_地下水分區","地下水分區範圍圖","面","2000","2008","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=682&type=SHP119","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=682&type=SHP119","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=GWREGION_119&filetype=SHP119"
44,"SHP","MD_ID=44&type=SHP","GWREGION",13,"HGW_地下水分區","地下水分區範圍圖","面","2000","2008","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=44&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=44&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=GWREGION&filetype=SHP"
681,"SHP119","MD_ID=681&type=SHP119","gwconare2_119",14,"HGW_地下水管制區","地下水第二級管制區","面","2018/12/25","2020/07/24","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=681&type=SHP119","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=681&type=SHP119","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwconare2_119&filetype=SHP119"
42,"SHP","MD_ID=42&type=SHP","gwconare",14,"HGW_地下水管制區","地下水第一級管制區","面","2018/12/25","2020/07/24","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=42&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=42&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwconare&filetype=SHP"
43,"SHP","MD_ID=43&type=SHP","gwconare2",14,"HGW_地下水管制區","地下水第二級管制區","面","2018/12/25","2020/07/24","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=43&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=43&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwconare2&filetype=SHP"
38,"SHP","MD_ID=38&type=SHP","SWWRB",15,"HLS_地層下陷水準高程檢測點","地層下陷水準高程檢測點","點"," 2021/07/01","2021/07/07","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=38&type=SHP","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=38&type=SHP","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=SWWRB&filetype=SHP"
