"section_name","web_list","web_content","inc_type_name","inc_name","inc_time","incidentid","freewayid","expresswayid","directionid","inc_location","from_milepost","to_milepost","interchange","inc_blockage","inc_severity","inc_notify_time","inc_notify_mode","inc_end_time","inc_stepno","inc_step_time","area","latitude","longitude"
"仁德系統(330) - 高雄(367)","國道1號北向364km","國道1號北向364km=>334.3km 施工維護","施工事件","施工維護","2020-03-20 08:57:00","20200320085757972400021","1","0","4",NA,364000,334300,NA,"00000000010000000000","1","2020-03-20 08:57:00","施工通報APP",NA,"1","2020-03-20 08:57:00","S","22.65995476","120.33153180"
"下營系統(299) - 下營系統(299)","國道1號北向299.57km","國道1號北向299.57km=>299.57km 散落物","一般事件","散落物","2020-03-20 16:34:00","20200320163541070400023","1","0","4",NA,299570,299570,"下營系統北向入口","2222222222","1","2020-03-20 16:35:00",NA,NA,"1","2020-03-20 16:34:00","S","23.22017885","120.23941260"
"銅鑼(140) - 三義(150)","國道1號北向144.5km","國道1號北向144.5km=>144.5km 散落物","一般事件","散落物","2020-03-20 16:57:00","20200320007652","1","0","4","三義-銅鑼",144500,144500,NA,"0010000000","低","2020-03-20 16:57:00","1968#2用路人",NA,"1",NA,"C","24.43902009","120.77896380"
"林口(41) - 桃園(49)","國道1號北向45.1km","國道1號北向45.1km=>45.1km 散落物","散落物","散落物","2020-03-20 17:01:00","202003201701530023","1","0","4",NA,45100,45100,NA,"00000001","1","2020-03-20 17:01:00","專線電話",NA,"1","2020-03-20 17:01:00","N","25.05781086","121.33000910"
"嘉義系統(272) - 新營服務區(284)","國道1號北向274km","國道1號北向274km=>273km 散落物","一般事件","散落物","2020-03-20 17:07:00","20200320170820045400023","1","0","4",NA,274000,273000,NA,"00110000000000000000","2","2020-03-20 17:08:00",NA,NA,"1","2020-03-20 17:07:00","S","23.41525633","120.35491680"
"泰山轉接道(36) - 林口(41)","國道1號北向37.2km","國道1號北向37.2km=>37.2km 散落物","散落物","散落物","2020-03-20 17:07:00","202003201707090023","1","0","4",NA,37200,37200,NA,"00110000","2","2020-03-20 17:07:00","設備監測",NA,"1","2020-03-20 17:07:00","N","25.05573787","121.40117260"
"永康(319) - 永康(319)","國道1號南向319.6km","國道1號南向319.6km=>319.6km 出口壅塞","壅塞事件","出口壅塞","2020-03-20 17:12:24","20200320171200000400090","1","0","3",NA,319600,319600,"永康南向出口",NA,"0","2020-03-20 17:12:24",NA,NA,"1","2020-03-20 17:12:24","S","23.04264205","120.25158440"
"員林(211) - 北斗(220)","國道1號南向213.9km","國道1號南向213.9km=>213.9km 散落物","一般事件","散落物","2020-03-20 17:13:56","20200320007670","1","0","3","員林-北斗",213900,213900,NA,"0001","低","2020-03-20 17:13:56","專線電話",NA,"1",NA,"C","23.92865672","120.49943790"
"嘉義系統(272) - 新營服務區(284)","國道1號北向278.6km","國道1號北向278.6km=>278.6km 散落物","一般事件","散落物","2020-03-20 17:15:00","20200320171531305400023","1","0","4",NA,278600,278600,NA,"00110000000000000000","2","2020-03-20 17:15:00",NA,NA,"1","2020-03-20 17:15:00","S","23.37426965","120.35133550"
"高雄(367) - 高雄(367)","國道1號北向367.4km","國道1號北向367.4km=>367.4km 出口壅塞","壅塞事件","出口壅塞","2020-03-20 17:21:26","20200320172100000400090","1","0","4",NA,367400,367400,"高雄北向出口",NA,"0","2020-03-20 17:21:26",NA,NA,"1","2020-03-20 17:21:26","S","22.63017596","120.33639550"
