Id,CenterLatitude,CenterLongitude,AccessURL,Title,ProjectNo,ProjectName,Date,Class
03-001LU,23.20855443,121.30517519,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211016_121305175_023208554_17_000_RSImage_UAV_Ortho/,20211016_正射影像_花蓮縣富里鄉竹田村,110WS036,110年花蓮分局保育治理專案管理規劃,2021-10-16,正射影像
03-001LT,22.9984143,120.22129815,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20220101_120221298_022998414_16_001_RSImage_UAV_Ortho/,20220101_正射影像_臺南市東區大學里,105000NP,非委辦計畫類,2022-01-01,正射影像
03-001LS,22.9984143,120.22129815,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20200101_120221298_022998414_16_000_RSImage_UAV_Ortho/,20200101_正射影像_臺南市東區大學里,105000NP,非委辦計畫類,2020-01-01,正射影像
03-001LQ,24.1438675,120.5986287,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120598629_024143868_19_000_RSImage_UAV_Ortho/,20211022_正射影像_臺中市南屯區春社里,110WS061,臺灣地區山坡地沉砂設施量體初步探討及圖冊編制,2021-10-22,正射影像
03-001LP,23.87813153,120.97298652,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211008_120972987_023878132_19_000_RSImage_UAV_Ortho/,20211008_正射影像_南投縣魚池鄉東光村,110WS061,臺灣地區山坡地沉砂設施量體初步探討及圖冊編制,2021-10-08,正射影像
03-001LO,24.19942981,120.61817285,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210625_120618173_024199430_18_000_RSImage_UAV_Ortho/,20210625_正射影像_臺中市西屯區林厝里,110WS061,臺灣地區山坡地沉砂設施量體初步探討及圖冊編制,2021-06-25,正射影像
03-001LN,24.46512503,120.76925308,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120769253_024465125_19_000_RSImage_UAV_Ortho/,20211022_正射影像_苗栗縣銅鑼鄉九湖村,110WS061,臺灣地區山坡地沉砂設施量體初步探討及圖冊編制,2021-10-22,正射影像
03-001LM,23.87812333,120.97302533,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120973025_023878123_19_000_RSImage_UAV_Ortho/,20211022_正射影像_南投縣魚池鄉東光村,110WS061,臺灣地區山坡地沉砂設施量體初步探討及圖冊編制,2021-10-22,正射影像
03-001LL,24.29274567,120.72446156,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120724462_024292746_18_000_RSImage_UAV_Ortho/,20211022_正射影像_臺中市后里區廣福里,110WS061,臺灣地區山坡地沉砂設施量體初步探討及圖冊編制,2021-10-22,正射影像
03-001LK,24.19972776,120.61812723,https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211022_120618127_024199728_17_000_RSImage_UAV_Ortho/,20211022_正射影像_臺中市西屯區林厝里,110WS061,臺灣地區山坡地沉砂設施量體初步探討及圖冊編制,2021-10-22,正射影像
