"Id","CenterLatitude","CenterLongitude","AccessURL","Title","ProjectNo","ProjectName","Date","Class.x","Class.y"
"03-001GC",24.88580255,121.18606844,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211101_121186068_024885803_14_000_RSImage_UAV_Ortho/","20211001_正射影像_桃園市龍潭區八德里","110WS060","無人航空載具應用於輔助水土保持監督管理工作之初步探討","2021-10-01","正射影像",NA
"03-001GC",24.88580255,121.18606844,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211101_121186068_024885803_14_000_RSImage_UAV_Ortho/","20211101_正射影像_桃園市龍潭區八德里","110WS060","無人航空載具應用於輔助水土保持監督管理工作之初步探討","2021-11-01",NA,"正射影像"
"03-001GO",23.00919096,120.67307167,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211102_120673072_023009191_14_000_RSImage_UAV_Ortho/","20211102_正射影像_高雄市六龜區興龍里","110WS053","110年土砂災害空間資訊蒐集判釋與變遷分析","2021-11-02","正射影像",NA
"03-001GP",23.18651318,120.78476311,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210810_120784763_023186513_14_000_RSImage_UAV_Ortho/","20210810_正射影像_高雄市桃源區勤和里","110WS053","110年土砂災害空間資訊蒐集判釋與變遷分析","2021-08-10","正射影像",NA
"03-001GQ",23.18146754,120.81490282,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210811_120814903_023181468_13_000_RSImage_UAV_Ortho/","20210811_正射影像_高雄市桃源區勤和里","110WS053","110年土砂災害空間資訊蒐集判釋與變遷分析","2021-08-11","正射影像",NA
"03-001GR",24.15910207,120.8132453,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210626_120813245_024159102_15_000_RSImage_UAV_Ortho/","20210626_正射影像_臺中市新社區協成里","110WS076","野溪橫向構造物預鑄塊體之精進應用","2021-06-26","正射影像",NA
"03-001GS",24.05149419,121.14664317,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210830_121146643_024051494_15_000_RSImage_UAV_Ortho/","20210830_正射影像_南投縣仁愛鄉大同村","110WS069","雲嘉地區災害重點區智慧禦災能力分析與應用","2021-08-30","正射影像",NA
"03-001GT",23.30078933,120.676759,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210930_120676759_023300789_14_000_RSImage_UAV_Ortho/","20210930_正射影像_嘉義縣阿里山鄉茶山村","110WS069","雲嘉地區災害重點區智慧禦災能力分析與應用","2021-09-30","正射影像",NA
"03-001GU",24.02722861,121.19604074,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210916_121196041_024027229_13_000_RSImage_UAV_Ortho/","20210916_正射影像_南投縣仁愛鄉精英村","110WS069","雲嘉地區災害重點區智慧禦災能力分析與應用","2021-09-16","正射影像",NA
"03-001GV",24.02003306,121.12774162,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210830_121127742_024020033_16_000_RSImage_UAV_Ortho/","20210830_正射影像_南投縣仁愛鄉大同村","110WS069","雲嘉地區災害重點區智慧禦災能力分析與應用","2021-08-30","正射影像",NA
"03-001GW",24.65867377,121.39374986,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211019_121393750_024658674_16_000_RSImage_UAV_Ortho/","20211019_正射影像_桃園市復興區華陵里","110LL041","桃園市-復興區-T002(光華)大規模崩塌潛勢區無人機光達拍攝及圖層產製","2021-10-19","正射影像",NA
"03-001GX",23.36881467,120.56414979,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210715_120564150_023368815_14_000_RSImage_UAV_Ortho/","20210715_正射影像_嘉義縣中埔鄉中崙村","110WS069","雲嘉地區災害重點區智慧禦災能力分析與應用","2021-07-15","正射影像",NA
"03-001GY",24.61762001,121.29253663,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20211014_121292537_024617620_14_000_RSImage_UAV_Ortho/","20211014_正射影像_新竹縣尖石鄉秀巒村","110LL026","110年度鎮西堡、秀巒及泰崗地區潛在大規模崩塌調查監測計畫","2021-10-14","正射影像",NA
"03-001GZ",23.35057157,120.52421272,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210827_120524213_023350572_15_000_RSImage_UAV_Ortho/","20210827_正射影像_嘉義縣中埔鄉東興村","110LL017","110年度八寶寮大規模崩塌地之整合觀測系統優化及治理策略訂定","2021-08-27","正射影像",NA
"03-001H0",23.53708125,120.67597104,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210813_120675971_023537081_15_000_RSImage_UAV_Ortho/","20210813_正射影像_嘉義縣梅山鄉瑞里村","110LL015","110年度嘉義縣幼葉林、瀨頭、檨仔寮等處潛在大規模崩塌調查監測計畫","2021-08-13","正射影像",NA
"03-001H1",23.39885112,120.65052307,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210824_120650523_023398851_15_000_RSImage_UAV_Ortho/","20210824_正射影像_嘉義縣阿里山鄉山美村","110LL015","110年度嘉義縣幼葉林、瀨頭、檨仔寮等處潛在大規模崩塌調查監測計畫","2021-08-24","正射影像",NA
"03-001H2",23.50679456,120.6005865,"https://storage.geodac.tw/Tile/RSImage/UAV/Ortho/20210917_120600586_023506795_14_000_RSImage_UAV_Ortho/","20210917_正射影像_嘉義縣竹崎鄉文峰村","110LL015","110年度嘉義縣幼葉林、瀨頭、檨仔寮等處潛在大規模崩塌調查監測計畫","2021-09-17","正射影像",NA
