"id","資料集名稱","服務分類","檔案格式","下載連結","編碼格式","資料類型","資料集描述","主要欄位說明","提供機關","更新頻率","授權方式","相關網址","計費方式","資料集提供機關聯絡人","資料集提供機關聯絡人電話","發布時間","修訂時間","備註"
"5950","中華郵政全國營業據點","交通及通訊","CSV","https://www.post.gov.tw/post/internet/Templates/getOpenDataFile.jsp?vkey=B484EB27-B3F0-4D02-8F62-047D20C64078","UTF-8","b01","中華郵政公司郵務業務相關資訊","郵遞區號;電腦局號;郵務局號;局名;電腦局名;郵務電話;儲匯電話;郵務傳真;縣市;鄉鎮市區;地址;經度;緯度;平常日提供服務;平常日延時提供服務;週六提供服務;週日提供服務;週一 郵務;週二 郵務;週三 郵務;週四 郵務;週五 郵務;週一 儲匯;週二 儲匯;週三 儲匯;週四 儲匯;週五 儲匯;週六;週日;提供郵務業務延時服務郵局 週一至週五;提供郵務及儲匯業務延時服務郵局 週一至週五;營業時間備註","中華郵政股份有限公司","每日","政府資料開放授權條款-第1版",NA,"免費","中華郵政公司客服中心 先生","0800-700-365","2017/04/10 16:32","2018/09/13 16:13",""
"6054","國有非公用土地提供綠美化資訊公開","公共資訊","CSV;CSV;CSV","http://www.fnpn.gov.tw/data.php?source=GreenInfo&format=csv&lang=zh-tw;http://www.fnpc.gov.tw/data.php?source=BranchGreenInfo&format=csv&lang=zh-tw;http://www.fnps.gov.tw/data.php?source=BranchGreenInfo&format=csv&lang=zh-tw","UTF-8;UTF-8;UTF-8","b01","國有非公用土地綠美化成果資訊","單位;土地標示縣市;土地標示鄉鎮市區;土地標示地段;土地標示地號;面積_平方公尺;土地所在位置;Google_Map網址","財政部國有財產署","每日","政府資料開放授權條款-第1版","https://www.fnp.gov.tw/opendata/;https://www.fnp.gov.tw/opendata/;https://www.fnp.gov.tw/opendata/","免費","蕭惠天 先生","02-27718121#2415","2014/11/27 20:27","2018/11/13 15:27",""
"6065","加油站服務資訊","公共資訊","CSV","http://www3.cpc.com.tw/opendata_d00/webservice/加油站服務資訊.csv","UTF-8","a01","蒐集目的：本資料集主要提供台灣中油公司各加油站主要油品銷售類別及各項的多角化服務資訊，以方便客戶就近取得加油站的服務資訊。 資料來源為公司內部資料。微軟教學文件：加入和移除 Web Service https://msdn.microsoft.com/zh-tw/library/d9w023sx(v=vs.100).aspx 微軟教學文件：呼叫Web Service https://msdn.microsoft.com/zh-tw/library/6h0yh8f9(v=vs.100).aspx","站代號;類別;站名;縣市;鄉鎮區;地址;電話;服務中心;營業中;國道高速公路;無鉛92;無鉛95;無鉛98;酒精汽油;煤油;超柴;會員卡;刷卡自助;自助柴油站;電子發票;悠遊卡;一卡通;HappyCash;經度;緯度;營業時間;洗車類別;etag儲值時間;保養間時間","台灣中油股份有限公司油品行銷事業部","每日","政府資料開放授權條款-第1版","http://vipmember.tmtd.cpc.com.tw/CPCSTN/STNWebService.asmx","免費","張先生","02-87258672","2013/04/01 08:00","2019/11/12 10:07","授權說明網址: http://data.gov.tw/license"
"6086","幼兒園名錄","求學及進修","CSV;CSV;CSV;CSV;CSV;CSV","http://stats.moe.gov.tw/files/school/105/k1_new.csv;http://stats.moe.gov.tw/files/school/103/k1_new.csv;http://stats.moe.gov.tw/files/school/104/k1_new.csv;http://stats.moe.gov.tw/files/school/106/k1_new.csv;http://stats.moe.gov.tw/files/school/107/k1_new.csv;http://stats.moe.gov.tw/files/school/108/k1_new.csv","UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8","a01","全臺灣幼兒園通訊資料","代碼;學校名稱;公/私立;縣市名稱;鄉鎮市區名稱;地址;電話;學校代碼;學校地址;學校電話;鄉鎮市區
名稱","教育部統計處","每年","政府資料開放授權條款-第1版",NA,"免費","許小姐","0277365746","2014/08/01 08:00","2019/12/16 09:49","更新頻率說明: 每學年度 授權說明網址: http://data.gov.tw/license"
"6121","全國郵局ATM分佈","交通及通訊","CSV","https://www.post.gov.tw/post/internet/Templates/getOpenDataFile.jsp?vkey=85422E4D-6133-4404-851E-08EC2077A162","UTF-8","b01","中華郵政公司郵務業務相關資訊","縣市;鄉鎮市區;儲匯局號;局名;聯絡電話;郵局地址;經度;緯度;自動櫃員機;自動櫃員存提款機;自動補摺機;自動櫃員提款機;是否為局外ATM;縣市排序代號","中華郵政股份有限公司","每日","政府資料開放授權條款-第1版",NA,"免費","中華郵政公司客服中心 先生","0800-700-365","2017/03/09 08:47","2018/03/07 13:45","授權說明網址: http://data.gov.tw/license"
"6134","藥局基本資料","公共資訊","CSV;JSON;XML;CSV;JSON;XML","https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=35&logType=2;https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=35&logType=3;https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=35&logType=1;https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=35&logType=2;https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=35&logType=3;https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=35&logType=1","UTF-8;UTF-8;UTF-8;UTF-8;UTF-8;UTF-8","b01","提供藥局名稱、地址、電話等基本資料。","機構狀態;機構名稱;地址縣市別;地址鄉鎮市區;地址街道巷弄號;負責人姓名;負責人性別;電話;是否為健保特約藥局","衛生福利部食品藥物管理署","每日","政府資料開放授權條款-第1版","https://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=35;https://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=35;https://data.fda.gov.tw/frontsite/data/DataAction.do?method=doDetail&infoId=35;http://www.fda.gov.tw/Drug/Pharmacy.csv;http://www.fda.gov.tw/Drug/Pharmacy.csv;http://www.fda.gov.tw/Drug/Pharmacy.csv","免費","林 先生/小姐","2787-7468","2014/09/19 00:00","2018/12/07 10:11",""
"6382","土壤319公頃_調查區一公頃範圍圖","生活安全及品質","KML;SHP;KML;SHP","https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=kml&filename=農地土壤重金屬_調查區一公頃&fid=10100010;https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=shp&filename=農地土壤重金屬_調查區一公頃&fid=10100010;https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=kml&filename=農地土壤重金屬_調查區一公頃&fid=10100010;https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=shp&filename=農地土壤重金屬_調查區一公頃&fid=10100010","UTF-8;UTF-8;UTF-8;UTF-8","b01","顯示環保署91年調查台灣地區歷年來農地受砷(As)、鎘(Cd)、鉻(Cr)、汞(Hg)、鎳(Ni)、及鉛(Pb)等六種重金屬污染量達第五級地區（即疑似外來污染）計有319公頃，屬於一公頃調查區之調查範圍。","縣市;鄉鎮;污染種類;編號;無法採樣說明;現場照片檔名;污染源代碼;採樣面積;採樣數","行政院環境保護署","每月","政府資料開放授權條款-第1版","http://gis.epa.gov.tw/LayerListn.aspx;http://gis.epa.gov.tw/LayerListn.aspx","免費","謝菊蕙 女士","02-23832389#8302","2013/08/23 00:00","2020/03/07 01:29",""
"6383","土壤319公頃_一公頃一採樣點位置圖","生活安全及品質","KML;SHP;KML;SHP","https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=kml&filename=%E8%BE%B2%E5%9C%B0%E5%9C%9F%E5%A3%A4%E9%87%8D%E9%87%91%E5%B1%AC_%E8%AA%BF%E6%9F%A5%E6%8E%A1%E6%A8%A3%E9%BB%9E&fid=10100020;https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=shp&filename=%E8%BE%B2%E5%9C%B0%E5%9C%9F%E5%A3%A4%E9%87%8D%E9%87%91%E5%B1%AC_%E8%AA%BF%E6%9F%A5%E6%8E%A1%E6%A8%A3%E9%BB%9E&fid=10100020;https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=kml&filename=%E8%BE%B2%E5%9C%B0%E5%9C%9F%E5%A3%A4%E9%87%8D%E9%87%91%E5%B1%AC_%E8%AA%BF%E6%9F%A5%E6%8E%A1%E6%A8%A3%E9%BB%9E&fid=10100020;https://ienv.epa.gov.tw/NGIS/LayerList/DownloadFile?type=shp&filename=%E8%BE%B2%E5%9C%B0%E5%9C%9F%E5%A3%A4%E9%87%8D%E9%87%91%E5%B1%AC_%E8%AA%BF%E6%9F%A5%E6%8E%A1%E6%A8%A3%E9%BB%9E&fid=10100020","UTF-8;UTF-8;UTF-8;UTF-8","b01","顯示環保署91年調查台灣地區歷年來農地受砷(As)、鎘(Cd)、鉻(Cr)、汞(Hg)、鎳(Ni)、及鉛(Pb)等六種重金屬污染量達第五級地區（即疑似外來污染）計有319公頃，屬於一公頃調查區塊之採樣點位置。","縣市;鄉鎮;二度分帶X;TWD97TM2X;二度分帶Y;TWD97TM2Y;植摘種類;土地型態;土地利用;含鉛值;PH值;現場照片檔名;污染源代碼;污染程度;採樣日期;採樣點代碼;含鋅值","行政院環境保護署","每月","政府資料開放授權條款-第1版","http://gis.epa.gov.tw/LayerListn.aspx;http://gis.epa.gov.tw/LayerListn.aspx","免費","謝菊蕙 女士","02-23832389#8302","2013/08/23 00:00","2020/03/07 01:30",""
"6473","醫院病床統計","公共資訊","ZIP","https://drive.google.com/uc?export=download&confirm=jeak&id=0B4CsUwax7ZbsNHdmc01iam84czg","其他","a01","提供我國醫院病床資料，供各界使用。","鄉鎮市區碼(新);醫院家數;病床總計;一般病床小計;特殊病床小計;精神病床小計;急性病床小計;慢性病床小計;急性一般病床;精神急性一般病床;慢性一般病床;精神慢性一般病床;慢性結核病床;漢生病病床;國際醫療病床;加護病床;燒傷病床;嬰兒病床;急診觀察病床;其他;安寧病床;呼吸照護病床;呼吸照護中心;急性結核病床;精神科加護病床;手術恢復床;嬰兒床;血液透析床;產科病床;燒傷加護病床;慢性呼吸照護病床;亞急性呼吸照護病床;普通隔離病床;正壓隔離病床;負壓隔離病床;骨髓移植病床;性侵害犯罪加害人強制治療病床;腹膜透析床;急診觀察床;其他觀察病床;急性後期照護病床;整合醫學急診後送病床;鄉鎮市區代碼;鄉鎮市區名稱","衛生福利部統計處","每年","政府資料開放授權條款-第1版",NA,"免費","陳先生","0285906822","2013/10/25 00:00","2019/08/13 10:43","授權說明網址: http://data.gov.tw/license"
"6474","醫院人力統計","公共資訊","ZIP","https://drive.google.com/uc?export=download&confirm=jeak&id=0B4CsUwax7ZbsNUxuN054ajNBS0U","其他","a01","提供我國醫院人力資料，供各界使用。","鄉鎮市區碼(新);醫院家數;醫事人員總計;醫師;中醫師;牙醫師;藥師;藥劑生;醫事檢驗師;醫事檢驗生;醫事放射師;醫事放射士;護理師;護士;助產師;助產士;鑲牙生;營養師;物理治療師;物理治療生;職能治療師;職能治療生;臨床心理師;諮商心理師;呼吸治療師;語言治療師;聽力師;牙體技術師;牙體技術生;臨床社會工作人員;其他技術人員;行政事務人員;技工工友司機;驗光師;驗光生;鄉鎮市區代碼;鄉鎮市區名稱","衛生福利部統計處","每年","政府資料開放授權條款-第1版",NA,"免費","陳先生","0285906822","2013/10/25 00:00","2019/07/29 11:15","授權說明網址: http://data.gov.tw/license"
