"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePOP"
"12","136581","20220704234000","23","0","臺南市","南化區","120.500","23.030","-999"
"97","136584","20220704234000","24","3","臺南市","南化區","120.500","23.035","97"
"44","136586","20220704234000","42","1","臺南市","南化區","120.465","23.040","44"
"24","136602","20220704234000","21","1","臺南市","南化區","120.465","23.010","24"
"1240","136671","20220704234000","1094","1","臺南市","中西區","120.170","23.000","1240"
"1888","136672","20220704234000","2055","0","臺南市","中西區","120.175","23.000","1888"
"308","136674","20220704234000","702","0","臺南市","中西區","120.185","23.000","308"
"1284","136675","20220704234000","1848","0","臺南市","安平區","120.165","22.995","1284"
"627","136676","20220704234000","540","1","臺南市","安平區","120.170","22.995","627"
"1827","136677","20220704234000","1508","2","臺南市","安平區","120.185","22.990","1827"
"361","136678","20220704234000","319","1","臺南市","安平區","120.180","22.995","361"
"782","136679","20220704234000","1179","0","臺南市","安平區","120.185","22.995","782"
"1207","136680","20220704234000","915","2","臺南市","安平區","120.180","22.985","1207"
"2243","136681","20220704234000","1502","2","臺南市","安平區","120.180","22.990","2243"
"45","136684","20220704234000","531","0","臺南市","安南區","120.190","23.040","45"
"178","136690","20220704234000","216","0","臺南市","南區","120.215","22.955","178"
"612","136695","20220704234000","446","2","臺南市","南區","120.210","22.965","612"
"1236","136696","20220704234000","925","2","臺南市","南區","120.215","22.965","1236"
"2371","136697","20220704234000","1828","2","臺南市","南區","120.185","22.965","2371"
"491","136701","20220704234000","445","1","臺南市","南區","120.170","22.955","491"
"117","136709","20220704234000","102","1","臺南市","南區","120.165","22.965","117"
"948","136712","20220704234000","502","3","臺南市","仁德區","120.220","22.955","948"
"513","136717","20220704234000","392","2","臺南市","仁德區","120.255","22.965","513"
"245","136718","20220704234000","306","0","臺南市","仁德區","120.260","22.965","245"
"56","136720","20220704234000","267","0","臺南市","仁德區","120.270","22.965","56"
"388","136721","20220704234000","1426","0","臺南市","仁德區","120.255","22.970","388"
"721","136722","20220704234000","456","3","臺南市","仁德區","120.260","22.970","721"
"1341","136727","20220704234000","1704","0","臺南市","北區","120.220","23.005","1341"
"1412","136728","20220704234000","1740","0","臺南市","北區","120.200","23.005","1412"
"601","136732","20220704234000","416","2","臺南市","仁德區","120.260","22.985","601"
"1216","136738","20220704234000","849","2","臺南市","仁德區","120.260","22.990","1216"
"31","136741","20220704234000","70","0","臺南市","仁德區","120.265","22.995","31"
"611","136752","20220704234000","238","3","臺南市","安南區","120.185","23.035","611"
"881","136755","20220704234000","635","2","臺南市","安南區","120.185","23.040","881"
"3061","136756","20220704234000","2377","2","臺南市","中西區","120.205","22.995","3061"
"301","136758","20220704234000","437","0","臺南市","永康區","120.250","23.000","301"
"389","136763","20220704234000","481","0","臺南市","安南區","120.200","23.040","389"
"1337","136764","20220704234000","2970","0","臺南市","安南區","120.190","23.025","1337"
"73","136765","20220704234000","117","0","臺南市","安南區","120.140","23.000","73"
"10","136783","20220704234000","12","0","臺南市","安南區","120.185","23.015","-999"
"1830","136786","20220704234000","2094","0","臺南市","北區","120.210","23.000","1830"
"774","136787","20220704234000","649","1","臺南市","中西區","120.195","22.995","774"
"1132","136788","20220704234000","878","2","臺南市","中西區","120.205","22.985","1132"
"578","136789","20220704234000","1101","0","臺南市","東區","120.225","22.980","578"
"4435","136790","20220704234000","3409","2","臺南市","東區","120.220","22.985","4435"
"515","136791","20220704234000","603","0","臺南市","永康區","120.225","23.015","515"
"807","136792","20220704234000","1281","0","臺南市","永康區","120.240","23.005","807"
"277","136793","20220704234000","1072","0","臺南市","永康區","120.240","23.000","277"
"779","136794","20220704234000","1943","0","臺南市","永康區","120.235","23.010","779"
"625","136795","20220704234000","641","0","臺南市","永康區","120.245","23.000","625"
"1539","136799","20220704234000","1939","0","臺南市","新化區","120.300","23.035","1539"
"897","136800","20220704234000","1429","0","臺南市","東區","120.215","22.975","897"
"693","136801","20220704234000","890","0","臺南市","東區","120.230","22.985","693"
"2569","136802","20220704234000","2021","2","臺南市","東區","120.230","22.975","2569"
"239","136803","20220704234000","324","0","臺南市","東區","120.225","22.975","239"
"464","136804","20220704234000","415","1","臺南市","東區","120.230","22.970","464"
"940","136805","20220704234000","1315","0","臺南市","東區","120.230","22.965","940"
"593","136806","20220704234000","480","2","臺南市","南區","120.185","22.975","593"
"698","136808","20220704234000","985","0","臺南市","南區","120.210","22.970","698"
"434","136809","20220704234000","634","0","臺南市","東區","120.215","22.970","434"
"35","136812","20220704234000","327","0","臺南市","仁德區","120.245","22.955","35"
"168","136813","20220704234000","193","0","臺南市","仁德區","120.240","22.960","168"
"184","136814","20220704234000","131","2","臺南市","仁德區","120.245","22.960","184"
"351","136816","20220704234000","764","0","臺南市","仁德區","120.255","22.960","351"
"348","136817","20220704234000","501","0","臺南市","仁德區","120.240","22.965","348"
"83","136820","20220704234000","69","2","臺南市","仁德區","120.240","22.970","83"
"901","136821","20220704234000","552","3","臺南市","仁德區","120.245","22.970","901"
"413","136822","20220704234000","734","0","臺南市","仁德區","120.250","22.970","413"
"1234","136823","20220704234000","695","3","臺南市","仁德區","120.240","22.975","1234"
"704","136824","20220704234000","1024","0","臺南市","仁德區","120.245","22.975","704"
"365","136825","20220704234000","507","0","臺南市","仁德區","120.250","22.975","365"
"1345","136826","20220704234000","1638","0","臺南市","北區","120.215","23.005","1345"
"62","136851","20220704234000","250","0","高雄市","內門區","120.445","22.975","62"
"23","136927","20220704234000","18","2","臺東縣","池上鄉","121.195","23.040","23"
"54","136939","20220704234000","35","3","高雄市","內門區","120.435","22.955","54"
"114","136953","20220704234000","91","2","高雄市","內門區","120.465","23.000","114"
"114","136958","20220704234000","241","0","高雄市","內門區","120.470","22.960","114"
"70","136970","20220704234000","66","1","高雄市","內門區","120.465","22.975","70"
"54","136996","20220704234000","34","3","高雄市","內門區","120.495","22.955","54"
"70","137008","20220704234000","135","0","高雄市","內門區","120.490","22.970","70"
"64","137020","20220704234000","65","0","高雄市","內門區","120.510","22.980","64"
"236","137023","20220704234000","291","0","高雄市","內門區","120.500","22.985","236"
"49","137048","20220704234000","88","0","高雄市","六龜區","120.660","23.005","49"
"75","137056","20220704234000","121","0","高雄市","六龜區","120.665","23.010","75"
"36","137071","20220704234000","26","2","臺南市","龍崎區","120.350","22.955","36"
"26","137124","20220704234000","20","2","臺南市","龍崎區","120.385","23.005","26"
"82","137130","20220704234000","60","2","臺南市","關廟區","120.370","22.960","82"
"518","137196","20220704234000","936","0","臺南市","安南區","120.190","23.020","518"
"52","137197","20220704234000","57","0","臺南市","南區","120.195","22.965","52"
"197","137201","20220704234000","295","0","臺南市","歸仁區","120.295","22.960","197"
"668","137202","20220704234000","682","0","臺南市","永康區","120.255","23.005","668"
"202","137251","20220704234000","265","0","高雄市","內門區","120.485","23.015","202"
"40","137259","20220704234000","33","2","高雄市","內門區","120.480","22.965","40"
"96","137275","20220704234000","117","0","高雄市","內門區","120.510","23.015","96"
"114","137311","20220704234000","76","3","高雄市","六龜區","120.650","22.975","114"
"501","137325","20220704234000","807","0","高雄市","六龜區","120.660","22.985","501"
"232","137409","20220704234000","119","3","高雄市","六龜區","120.640","22.990","232"
"157","137466","20220704234000","202","0","高雄市","六龜區","120.660","23.035","157"
"773","137491","20220704234000","838","0","高雄市","六龜區","120.635","22.995","773"
"158","137494","20220704234000","176","0","臺南市","安平區","120.165","23.000","158"
"124","137502","20220704234000","198","0","臺南市","安平區","120.150","22.990","124"
"729","137506","20220704234000","592","2","臺南市","永康區","120.260","23.020","729"
"347","137507","20220704234000","504","0","臺南市","永康區","120.250","23.030","347"
"196","137585","20220704234000","102","3","臺東縣","鹿野鄉","121.140","22.975","196"
"119","137592","20220704234000","116","1","臺東縣","鹿野鄉","121.140","22.985","119"
"102","137600","20220704234000","77","2","臺東縣","鹿野鄉","121.155","22.950","102"
"311","137609","20220704234000","377","0","臺東縣","鹿野鄉","121.155","22.955","311"
"364","137617","20220704234000","521","0","高雄市","旗山區","120.510","22.955","364"
"43","137618","20220704234000","106","0","高雄市","旗山區","120.515","22.955","43"
"238","137627","20220704234000","265","0","高雄市","旗山區","120.515","22.970","238"
"1284","137638","20220704234000","2328","0","臺南市","歸仁區","120.290","22.965","1284"
"33","137642","20220704234000","157","0","臺南市","永康區","120.275","23.035","33"
"59","137643","20220704234000","231","0","臺南市","永康區","120.280","23.035","59"
"17","137645","20220704234000","26","0","臺南市","永康區","120.275","23.040","17"
"707","137648","20220704234000","522","2","臺南市","新化區","120.305","23.030","707"
"923","137649","20220704234000","786","1","臺南市","永康區","120.240","23.010","923"
"785","137650","20220704234000","604","2","臺南市","永康區","120.215","23.020","785"
"677","137651","20220704234000","417","3","臺南市","北區","120.220","23.015","677"
"19","138036","20220704234000","65","0","臺東縣","成功鎮","121.315","22.990","19"
"133","138047","20220704234000","59","3","臺東縣","成功鎮","121.320","23.005","133"
"66","138061","20220704234000","39","3","臺東縣","成功鎮","121.325","23.020","66"
"177","138079","20220704234000","236","0","臺東縣","成功鎮","121.335","23.030","177"
"408","138095","20220704234000","135","3","臺東縣","關山鎮","121.170","23.040","408"
"97","138110","20220704234000","58","3","臺東縣","關山鎮","121.145","23.005","97"
"106","138197","20220704234000","138","0","臺東縣","關山鎮","121.175","23.015","106"
"33","138230","20220704234000","71","0","臺東縣","關山鎮","121.185","23.025","33"
"43","138241","20220704234000","29","2","臺東縣","鹿野鄉","121.130","22.955","43"
"217","138251","20220704234000","206","1","臺東縣","鹿野鄉","121.120","22.970","217"
"193","138278","20220704234000","144","2","臺東縣","鹿野鄉","121.150","22.980","193"
"848","138324","20220704234000","861","0","臺南市","新化區","120.300","23.020","848"
"285","138325","20220704234000","162","3","臺南市","新化區","120.305","23.020","285"
"282","138337","20220704234000","328","0","臺南市","安南區","120.125","23.035","282"
"216","138363","20220704234000","150","2","臺南市","安南區","120.140","23.030","216"
"364","138367","20220704234000","240","3","臺南市","安南區","120.160","23.030","364"
"182","138369","20220704234000","204","0","臺南市","安南區","120.135","23.035","182"
"96","138375","20220704234000","87","1","臺南市","安南區","120.140","23.040","96"
"339","138376","20220704234000","539","0","臺南市","安南區","120.145","23.040","339"
"226","138377","20220704234000","240","0","臺南市","安南區","120.150","23.040","226"
"204","138378","20220704234000","161","2","臺南市","安南區","120.155","23.040","204"
"28","138379","20220704234000","19","2","臺南市","安南區","120.160","23.040","28"
"36","138760","20220704234000","20","3","高雄市","桃源區","120.715","23.035","36"
"2810","138833","20220704234000","2147","2","臺南市","永康區","120.260","23.025","2810"
"25","138836","20220704234000","366","0","臺南市","永康區","120.265","23.030","25"
"1049","138838","20220704234000","773","2","臺南市","永康區","120.265","23.035","1049"
"298","138839","20220704234000","478","0","臺南市","永康區","120.265","23.040","298"
"16","138842","20220704234000","20","0","臺南市","永康區","120.280","23.040","16"
"113","138843","20220704234000","709","0","臺南市","新化區","120.300","23.040","113"
"16","138851","20220704234000","11","2","臺南市","新化區","120.375","23.010","16"
"323","138868","20220704234000","1113","0","臺南市","新化區","120.305","23.040","323"
"134","138909","20220704234000","172","0","臺南市","新化區","120.325","23.025","134"
"88","138910","20220704234000","26","3","臺南市","新化區","120.330","23.025","88"
"10","138911","20220704234000","78","0","臺南市","新化區","120.335","23.025","-999"
"476","138917","20220704234000","1770","0","臺南市","新化區","120.310","23.035","476"
"1369","138922","20220704234000","1337","1","臺南市","東區","120.220","22.980","1369"
"1913","138923","20220704234000","1405","2","臺南市","東區","120.235","22.970","1913"
"567","138926","20220704234000","813","0","臺南市","永康區","120.230","23.035","567"
"1719","138928","20220704234000","1317","2","臺南市","永康區","120.235","23.040","1719"
"790","138932","20220704234000","1115","0","臺南市","永康區","120.240","23.035","790"
"81","138933","20220704234000","221","0","臺南市","永康區","120.245","23.035","81"
"527","138935","20220704234000","771","0","臺南市","永康區","120.240","23.040","527"
"3585","138936","20220704234000","2045","3","臺南市","永康區","120.245","23.040","3585"
"84","138937","20220704234000","143","0","臺南市","永康區","120.250","23.040","84"
"35","138942","20220704234000","245","0","臺東縣","東河鄉","121.285","23.000","35"
"106","138962","20220704234000","88","2","臺東縣","東河鄉","121.280","23.020","106"
"20","138979","20220704234000","82","0","臺東縣","東河鄉","121.285","23.030","20"
"19","139027","20220704234000","73","0","臺東縣","東河鄉","121.240","22.965","19"
"63","139060","20220704234000","287","0","臺東縣","東河鄉","121.300","22.970","63"
"21","139073","20220704234000","12","3","臺東縣","東河鄉","121.300","22.985","21"
"40","139131","20220704234000","32","2","臺東縣","東河鄉","121.260","22.980","40"
"28","139146","20220704234000","27","1","臺東縣","東河鄉","121.265","22.985","28"
"214","139164","20220704234000","117","3","臺東縣","東河鄉","121.280","22.990","214"
