"POPULATION","G_ID","time","avg","idx","City","Town","x","y","prePop"
"152","6258","20220914080000","131","1","屏東縣","恆春鎮","120.745","21.945","127"
"12","6267","20220914080000","129","0","屏東縣","恆春鎮","120.790","21.945","18"
"130","9415","20220914080000","68","3","屏東縣","恆春鎮","120.715","21.970","131"
"76","9416","20220914080000","51","2","屏東縣","恆春鎮","120.845","21.970","84"
"207","15716","20220914080000","208","0","臺東縣","蘭嶼鄉","121.535","22.025","225"
"21","15719","20220914080000","282","0","臺東縣","蘭嶼鄉","121.550","22.025","24"
"42","18068","20220914080000","40","1","屏東縣","車城鄉","120.695","22.045","50"
"80","20191","20220914080000","554","0","臺東縣","蘭嶼鄉","121.570","22.065","91"
"104","40369","20220914080000","64","3","屏東縣","枋山鄉","120.660","22.245","105"
"59","46865","20220914080000","68","0","臺東縣","大武鄉","120.890","22.305","65"
"58","49782","20220914080000","144","0","屏東縣","琉球鄉","120.355","22.330","75"
"20","49783","20220914080000","149","0","屏東縣","琉球鄉","120.375","22.330","21"
"466","52213","20220914080000","283","3","屏東縣","琉球鄉","120.380","22.355","575"
"46","57589","20220914080000","26","3","屏東縣","春日鄉","120.660","22.365","62"
"90","57606","20220914080000","54","3","屏東縣","春日鄉","120.665","22.365","92"
"106","57748","20220914080000","101","1","屏東縣","春日鄉","120.750","22.405","112"
"234","57758","20220914080000","189","2","屏東縣","春日鄉","120.625","22.365","127"
"23","57868","20220914080000","193","0","屏東縣","車城鄉","120.730","22.055","29"
"112","57949","20220914080000","66","3","屏東縣","車城鄉","120.715","22.050","116"
"15","57951","20220914080000","114","0","屏東縣","車城鄉","120.710","22.055","12"
"316","57952","20220914080000","220","2","屏東縣","枋寮鄉","120.595","22.375","331"
"120","57962","20220914080000","369","0","屏東縣","枋寮鄉","120.595","22.385","125"
"424","57963","20220914080000","338","2","屏東縣","枋寮鄉","120.600","22.385","437"
"10","57992","20220914080000","17","0","屏東縣","滿州鄉","120.890","22.090","11"
"29","58022","20220914080000","17","3","屏東縣","滿州鄉","120.895","22.100","21"
"20","58112","20220914080000","19","1","屏東縣","滿州鄉","120.805","22.015","12"
"136","58150","20220914080000","115","1","屏東縣","滿州鄉","120.875","22.115","119"
"17","58179","20220914080000","30","0","屏東縣","滿州鄉","120.880","22.135","16"
"119","58209","20220914080000","85","2","屏東縣","滿州鄉","120.840","21.985","89"
"62","58243","20220914080000","49","2","屏東縣","滿州鄉","120.840","22.015","65"
"257","58245","20220914080000","191","2","屏東縣","滿州鄉","120.835","22.020","252"
"27","58246","20220914080000","16","3","屏東縣","滿州鄉","120.840","22.020","24"
"229","58248","20220914080000","72","3","屏東縣","滿州鄉","120.830","22.025","219"
"319","58265","20220914080000","260","2","屏東縣","滿州鄉","120.830","21.995","325"
"29","58303","20220914080000","19","3","屏東縣","滿州鄉","120.850","22.020","23"
"66","58452","20220914080000","41","3","屏東縣","滿州鄉","120.830","22.075","62"
"29","58493","20220914080000","21","2","屏東縣","滿州鄉","120.830","22.095","34"
"17","58500","20220914080000","23","0","屏東縣","滿州鄉","120.840","22.100","19"
"154","58514","20220914080000","103","2","屏東縣","枋山鄉","120.665","22.240","116"
"177","58522","20220914080000","210","0","屏東縣","枋山鄉","120.650","22.260","195"
"56","58529","20220914080000","230","0","屏東縣","枋山鄉","120.690","22.190","68"
"48","58531","20220914080000","127","0","屏東縣","枋山鄉","120.690","22.195","48"
"508","58554","20220914080000","525","0","屏東縣","恆春鎮","120.740","22.030","556"
"27","58568","20220914080000","217","0","屏東縣","恆春鎮","120.735","22.040","31"
"90","58585","20220914080000","51","3","屏東縣","恆春鎮","120.720","22.045","69"
"50","58614","20220914080000","460","0","屏東縣","恆春鎮","120.755","21.960","63"
"23","58615","20220914080000","10","3","屏東縣","恆春鎮","120.760","21.960","19"
"707","58618","20220914080000","516","2","屏東縣","恆春鎮","120.755","21.965","737"
"420","58656","20220914080000","211","3","屏東縣","恆春鎮","120.730","22.010","519"
"297","58663","20220914080000","312","0","屏東縣","恆春鎮","120.745","22.005","307"
"217","58680","20220914080000","171","2","屏東縣","恆春鎮","120.730","21.995","253"
